Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,1,4.02
Oc1ccc2C=CC(=O)Oc2c1,1,7.66
Oc1ccc2cc(cc(c2c1)[S](O)(=O)=O)[S](O)(=O)=O,1,8.61
Oc1ccc2cc(ccc2c1)[S](O)(=O)=O,1,8.90
Oc1ccc2ccc(cc2c1)[S](O)(=O)=O,1,9.05
Oc1ccc2ccccc2c1,1,9.34
Oc1ccc2ccccc2c1N=O,1,7.68
Oc1ccc2ccccc2c1[N+]([O-])=O,1,5.75
CC(C)C[C@H](NC(=O)CNC(=O)CN)C(O)=O,1,7.90
O[S](=O)(=O)C1=CC(=O)C(=O)c2ccccc12,1,10.51
O[S](=O)(=O)CCN1CCN(CC1)CC[S](O)(=O)=O,1,7.09
O[W](O)(=O)=O,1,3.08
Oc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,1,0.22
Oc1c(ccc2ccccc12)N=O,1,7.30
O[C@@H](C=O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O,1,3.27
O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O,1,3.04
Oc1ccc(cc1)C2(O[S](=O)(=O)c3ccccc23)c4ccc(O)cc4,1,7.67
Oc1ccc(cc1)N=O,1,6.33
Oc1ccc(cc1)[N+]([O-])=O,1,7.03
CC(C)C(C#N)C(O)=O,1,2.40
CC(C)CCN,1,10.64
CC(C)CN,1,10.53
CC(C)CNc1ccccc1,1,4.91
CC(C)C[C@H](NC(=O)CN)C(=O)NCC(O)=O,1,7.95
Oc1cc2ccc(cc2cc1[S](O)(=O)=O)[S](O)(=O)=O,1,9.14
Oc1ccc(Br)cc1,1,9.15
Oc1ccc(CC=C)cc1,1,10.23
Oc1ccc(F)cc1,1,9.68
Oc1ccc(I)cc1,1,9.33
Oc1ccc(c(c1)[N+]([O-])=O)[N+]([O-])=O,1,5.42
Oc1ccc(c2ccccc12)[S](O)(=O)=O,1,8.05
Oc1ccc(cc1)C#N,1,7.86
