SMILES,pKa_num,pKa_value
OCCN1CCN(CC1)CC[S](O)(=O)=O,1,[7.49]
OCCNC(=S)C(=S)NCCO,1,[11.07]
OCCS,1,[9.4]
OCCc1ccccn1,1,[5.37]
CCC(N)CC,1,[10.41]
CCC(O)(CC)C(O)=O,1,[3.62]
CCC(Oc1ccccc1)C(O)=O,1,[2.99]
CCC1=C(O)C(=O)C=CO1,1,[8.55]
CCCC(N)C(=O)OC,1,[7.66]
CCCCC(N)C(=O)OC,1,[7.68]
CCCCC(O)C(O)=O,1,[3.68]
CCCCCCCC(CCCCCCC)(C(O)=O)C(O)=O,1,[7.34]
OC(=O)C[Se]CCC=C,1,[3.77]
OC(=O)C[Se]CCCC=C,1,[3.8]
OC(=O)C[Se]c1ccccc1,1,[3.64]
OC(=O)[C@@H]1CCC(=O)N1,1,[3.1]
OC(=O)[C@@H]1CC[C@H](CC1)C(O)=O,1,[5.175000000000001]
OC(=O)[C@@]1(CCC(=O)N1)c2ccccc2,1,[2.69]
CCC(C)C(N)C(=O)OC,1,[7.54]
CCC(C)N,1,[10.56]
OC(=O)c1ccc(cc1)[N+]([O-])=O,1,[3.28]
OC(=O)c1cccc(F)c1,1,[3.68]
OC(=O)c1cccc(c1)[N+]([O-])=O,1,[3.28]
OC(=O)CSCC=C,1,[3.57]
OC(=O)CSCCC=C,1,[3.61]
OC(=O)CSCCCC=C,1,[3.63]
OC(=O)CSCc1ccccc1,1,[3.6]
OC(=O)CSc1ccccc1,1,[3.33]
OC1=CC(=O)Oc2ccccc12,1,[4.06]
OC1CC(=CC(O)C1O)C(O)=O,1,[4.01]
OCC(O)(CO)C(O)=O,1,[3.39]
OCC(O)=O,1,[3.62]
OCC(O)C(O)=O,1,[3.4]
OCC(O)CO[P](O)(O)=O,1,[6.205]
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,1,[2.68]
OC(=O)c1ccc(F)cc1,1,[3.95]
CCOC(=O)C(N)Cc1ccccc1,1,[7.12]
CCOC(=O)CCN,1,[9.18]
CCOC(=O)CN,1,[7.69]
CCOC(=O)CNC(=O)CN,1,[7.76]
CCOC[P](O)(O)=O,1,[7.02]
CCON=C(C)C=NO,1,[10.46]
CCON=C(CC)C=NO,1,[10.67]
CCSCC(O)=O,1,[3.6]
CCCSCC(O)=O,1,[3.62]
CCN,1,[10.69]
CCN(CC)C(=O)CCN,1,[9.44]
CCN(CC)C(=O)CN,1,[8.45]
CCN(CC)C(S)=S,1,[3.31]
CCOC(=O)C(C)N,1,[7.91]
CCOC(=O)C(N)C(C)C,1,[7.75]
CCOC(=O)C(N)CC(C)C,1,[7.65]
CCCCO[P]([O-])(=O)OCCCC,1,[1.0]
OC(=O)CN(CC(O)=O)c1cc(ccc1C(O)=O)C(O)=O,1,[7.54]
OC(=O)CNC(=O)c1ccccc1,1,[3.48]
OC(=O)COc1ccccc1,1,[2.96]
CCCCSCC(O)=O,1,[3.63]
CCCC[Se]CC(O)=O,1,[3.82]
CCCN,1,[10.64]
CCCON=C(CCC)C=NO,1,[10.81]
CCCCCCN,1,[10.64]
CCCCCCSCC(O)=O,1,[3.65]
CCCCCN,1,[10.63]
CCCCCSCC(O)=O,1,[3.64]
CCCCN,1,[10.66]
CCCCN1C=CC=C(O)C1=O,1,[9.06]
CCCCOC(=O)CN,1,[7.78]
CCCCO[P](O)(O)=O,1,[6.72]
Nc1cccc2cccnc12,1,[3.98]
Nc1cccc[n+]1[O-],1,[2.46]
Nc1ccccc1[S](O)(=O)=O,1,[2.29]
Nc1ccccn1,1,[6.78]
Nc1cccnc1,1,[6.05]
Nc1ccncc1,1,[9.17]
Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,1,[3.55]
Nc1ncnc2n(cnc12)[C@H]3C[C@H](O)[C@@H](CO)O3,1,[3.77]
CCc1[nH]ccn1,1,[7.87]
CCc1ccc(C)nc1,1,[6.43]
CCc1ccncc1,1,[6.06]
CN,1,[10.65]
CN(C)C(=S)C(N)=S,1,[10.56]
CN(C)c1ccc(cc1)[S](O)(=O)=O,1,[3.37]
CN(CC(=O)NCC(O)=O)C(=O)CN,1,[8.23]
CN1C=CC=C(O)C1=O,1,[8.89]
OB(O)c1ccccc1,1,[8.67]
OC(=O)C(=O)Cc1ccccc1,1,[2.33]
OC(=O)C1(O)CCCC1,1,[3.97]
OC(=O)C1(O)CCCCC1,1,[3.98]
OC(=O)C1(O)CCCCCC1,1,[4.03]
OC(=O)C1=C(C(=O)NC(=O)N1)[N+]([O-])=O,1,[4.83]
CC[C@H]1[C@H](COC1=O)Cc2cncn2C,1,[7.12]
CCc1[nH]c2ccccc2n1,1,[6.15]
OC(=O)C=O,1,[3.05]
OC(=O)CBr,1,[2.71]
OC(=O)CCBr,1,[3.79]
OC(=O)CCI,1,[3.9]
OC(=O)CI,1,[2.98]
O=C1NC=CC(=O)N1,1,[9.28]
OB(O)O,1,[8.98]
OB(O)c1cccc(c1)[N+]([O-])=O,1,[6.96]
COC(=O)C(N)C(C)C,1,[7.48]
COC(=O)C(N)CC(C)C,1,[7.63]
COC(=O)C(N)CCSC,1,[7.1]
COC(=O)C(N)CO,1,[7.07]
NCCCCc1ccccc1,1,[10.42]
NCCCO,1,[10.11]
NCCCc1ccccc1,1,[10.32]
NCCC(=O)NCCC(N)=O,1,[9.21]
NNC(N)=S,1,[1.7]
NNC(N)=[Se],1,[0.9]
NO,1,[5.96]
CN=C(NCCSCc1nc[nH]c1C)NC#N,1,[6.86]
