Ligand,Name
DL-2-Amino-3-(3-hydroxy-4-methoxyphenyl)propanoic acid,DL-2-Amino-3-(3-hydroxy-4-methoxyphenyl)propanoic acid
DL-2-Amino-3-(4-hydroxy-3-methoxyphenyl)propanoic acid,DL-2-Amino-3-(4-hydroxy-3-methoxyphenyl)propanoic acid
L-2-Amino-3-(3-amino-4-hydroxyphenyl)propanoic acid (m-Aminotyrosine),m-Aminotyrosine
"DL-2-Amino-2-(3,4-dihydroxyphenyl)acetic acid (DOPG)",DOPG
"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid (DOPA)",DOPA
"L-2-Amino-2-methyl-3-(3,4-dihydroxyphenyl)propanoic acid (L-2-MethylDOPA)",L-2-MethylDOPA
L-2-Amino-3-hydroxypropanoic acid (Serine),Serine
L-2-Amino-3-hydroxybutanoic acid (Threonine),Threonine
allo-L-2-Amino-3-hydroxybutanoic acid (L-allo-Threonine),L-allo-Threonine
erythro-2-Amino-3-hydroxy-3-phenylpropanoic acid (erythro-Phenylserine),erythro-Phenylserine
threo-2-Amino-3-hydroxy-3-phenylpropanoic acid (threo-Phenylserine),threo-Phenylserine
L-2-Amino-4-hydroxybutanoic acid (Homoserine),Homoserine
DL-3-Amino-2-hydroxypropanoic acid (Isoserine),Isoserine
DL-4-Amino-3-hydroxybutanoic acid,DL-4-Amino-3-hydroxybutanoic acid
"L-trans-2-Amino-3-hydroxy-2,3-dihydrobenzoic acid","L-trans-2-Amino-3-hydroxy-2,3-dihydrobenzoic acid"
"D-gluco-2-Amino-3,4,5,6-tetrahydroxyhexanoic acid (D-Glucosaminic acid)",D-Glucosaminic acid
DL-Amino-4-Methoxyphenylacetic acid (4-Methoxyphenylglycine),4-Methoxyphenylglycine
L-2-Aminobutanedioic acid 4-methyl ester (4-Methyl aspartate),4-Methyl aspartate
DL-2-Aminopentanedioic acid 5-ethyl ester (5-Ethyl glutamate),5-Ethyl glutamate
L-2-Aminopentanedioic acid 5-benzyl ester (5-Benzyl glutamate),5-Benzyl glutamate
DL-2-Aminopentanedioic acid 1-ethyl ester (1-Ethyl glutamate),1-Ethyl glutamate
L-2-Aminobutanedioic acid 4-amide (Asparagine),Asparagine
L-2-Aminopentanedioic acid 5-amide (Glutamine),Glutamine
L-2-Amino-6-(2-methylpropamido)hexanoic acid (N(6)-Isobutyroyl-L-lysine),N(6)-Isobutyroyl-L-lysine
L-2-Amino-6-acetamidohexanoic acid (N(6)-Acetyl-L-lysine),N(6)-Acetyl-L-lysine
L-2-Amino-3-(oxalylamido)propanoic acid,L-2-Amino-3-(oxalylamido)propanoic acid
N(6)-d-Biotinyl-L-lysine (d-Biocytin),d-Biocytin
d-Biocytin sulfoxide,d-Biocytin sulfoxide
d-Biocytin sulfone,d-Biocytin sulfone
L-2-Amino-5-ureidopentanoic acid (Citrulline),Citrulline
DL-2-Amino-3-methoxypropanoic acid (3-Methoxyalanine),3-Methoxyalanine
L-2-Amino-3-(phenylmethoxy)propanoic acid (O-Benzylserine),O-Benzylserine
L-2-Amino-3-(4-methoxyphenyl)propanoic acid (4-Methoxyphenylalanine),4-Methoxyphenylalanine
"DL-2-Amino-3-(3,4-dimethoxyphenyl)propanoic acid (3,4-Dimethoxyphenylalanine)","3,4-Dimethoxyphenylalanine"
L-2-Amino-3-mercaptopropanoic acid (Cysteine),Cysteine
D-2-Amino-3-mercapto-3-methylbutanoic acid (Penicillamine),Penicillamine
DL-2-Amino-3-mercapto-3-methylpentanoic acid,DL-2-Amino-3-mercapto-3-methylpentanoic acid
DL-2-Amino-4-mercaptobutanoic acid (Homocysteine),Homocysteine
DL-2-Amino-3-(2-mercaptoimidazo-4-yl)propanoic acid (Thiohistidine),Thiohistidine
L-2-Amino-3-(methylthio)propanoic acid (S-Methylcysteine),S-Methylcysteine
L-2-Amino-3-(ethylthio)propanoic acid (S-Ethylcysteine),S-Ethylcysteine
L-2-Amino-4-(methylthio)butanoic acid (Methionine),Methionine
L-2-Amino-4-(ethylthio)butanoic acid (Ethionine),Ethionine
L-2-Amino-3-(carboxymethylthio)propanoic acid,L-2-Amino-3-(carboxymethylthio)propanoic acid
L-2-Amino-3-(2-carboxyethylthio)propanoic acid,L-2-Amino-3-(2-carboxyethylthio)propanoic acid
L-2-Amino-3-(2-hydroxyethylthio)propanoic acid,L-2-Amino-3-(2-hydroxyethylthio)propanoic acid
L-2-Amino-3-(2-acetamidoethylthio)propanoic acid,L-2-Amino-3-(2-acetamidoethylthio)propanoic acid
L-2-Amino-3-(2-acetamidoethylsulfinyl)propanoic acid,L-2-Amino-3-(2-acetamidoethylsulfinyl)propanoic acid
L-2-Amino-3-(2-acetamidoethylsulfonyl)propanoic acid,L-2-Amino-3-(2-acetamidoethylsulfonyl)propanoic acid
L-2-Amino-3-(2-Cyanoethylthio)propanoic acid (L-5-(2-Cyanoethyl)cysteine),L-5-(2-Cyanoethyl)cysteine
L-2-Amino-3-(Ethoxy-3-oxopropylthio)propanoic acid (L-5-(Ethoxy-3-oxopropyl)cysteine),L-5-(Ethoxy-3-oxopropyl)cysteine
L-2-Amino-3-(carboxymethylsulfinyl)propanoic acid,L-2-Amino-3-(carboxymethylsulfinyl)propanoic acid
L-2-Amino-3-(carboxymethylsulfonyl)propanoic acid,L-2-Amino-3-(carboxymethylsulfonyl)propanoic acid
5-Amino-3-thiapentanoic acid (S-2-Aminoethylmercaptoacetic acid),S-2-Aminoethylmercaptoacetic acid
6-Amino-3-thiahexanoic acid (S-3-Aminopropylmercaptoacetic acid),S-3-Aminopropylmercaptoacetic acid
6-Amino-4-thiahexanoic acid (S-2-Aminoethyl-3-mercaptopropanoic acid),S-2-Aminoethyl-3-mercaptopropanoic acid
DL-2-(Acetylamino)-3-(2-aminoethylthio)propanoic acid,DL-2-(Acetylamino)-3-(2-aminoethylthio)propanoic acid
L-2-Amino-3-(2-aminoethylthio)propanoic acid (S-(2-Aminoethyl)cysteine),S-(2-Aminoethyl)cysteine
L-2-Amino-3-(2-aminoethylsulfinyl)propanoic acid,L-2-Amino-3-(2-aminoethylsulfinyl)propanoic acid
L-2-Amino-3-(2-aminoethylsulfonyl)propanoic acid,L-2-Amino-3-(2-aminoethylsulfonyl)propanoic acid
L-2-Amino-3-(2-aminoethyldithio)propanoic acid,L-2-Amino-3-(2-aminoethyldithio)propanoic acid
"L-2,3-Diaminopropanoic acid","L-2,3-Diaminopropanoic acid"
L-2-Amino-3-(methylamino)propanoic acid,L-2-Amino-3-(methylamino)propanoic acid
"L-2,4-Diaminobutanoic acid","L-2,4-Diaminobutanoic acid"
"L-2,5-Diaminopentanoic acid (Ornithine)",Ornithine
"L-2,6-Diaminohexanoic acid (Lysine)",Lysine
"DL-2,7-Diaminooctanedioic acid","DL-2,7-Diaminooctanedioic acid"
"DL-2,6-Diamino-5-hydroxyhexanoic acid","DL-2,6-Diamino-5-hydroxyhexanoic acid"
"L-3,3'-Dithiobis(2-aminopropanoic acid) (Cystine)",Cystine
