Ligand,Name
"4-Carboxy-5,8,11-tris(carboxymethyl)-1-phenyl-2-oxa-5,8,11-triazatridecanoic acid (BOPTA)(Benic acid)",Benic acid
Diethylenetrinitrilotetraacetic-N''-propanoic acid (DTTAP),DTTAP
Diethylenetrinitrilopentapropanoic acid (DTPP),DTPP
N'-(2-Allyloxyethyl)diethylenetrinitrilotetraacetic acid,N'-(2-Allyloxyethyl)diethylenetrinitrilotetraacetic acid
"Diethylenetrinitrilopentaacetic acid N,N-bis(methylamide) (DTPA-BMA)	C16H21N5O8	\N	\N	H3L	5	\N	4327	2008-01-06 18:57:17
6361	N, N-Dimethyldiethylenetrinitrilotriacetic acid","Diethylenetrinitrilopentaacetic acid N,N-bis(methylamide) (DTPA-BMA)	C16H21N5O8	\N	\N	H3L	5	\N	4327	2008-01-06 18:57:17
6361	N, N-Dimethyldiethylenetrinitrilotriacetic acid"
"N,N-Bis(2-pyridylmethyl)diethylenetrinitrilotriacetic acid (DTPA-BP)	C16H21N5O8	\N	\N	H3L	5	\N	4328	2008-01-06 18:57:17
6363	Diethylenetrinitrilopentaacetic acid N,N-bis(butylamide) (DTPA-BBA)",DTPA-BBA
{Bis[3-(bis(carboxymethyl)amino)propyl]methylammonio}acetate,{Bis[3-(bis(carboxymethyl)amino)propyl]methylammonio}acetate
Triethylenetetranitrilohexaacetic acid (TTHA),TTHA
Tetraethylenepentanitriloheptaacetic acid (TPHA),TPHA
Pentaethylenehexanitrilooctaacetic acid (PHOA),PHOA
"1,2,3-Tris[bis(carboxymethyl)amino]propane","1,2,3-Tris[bis(carboxymethyl)amino]propane"
Nitrilotris(ethylenenitrilo)hexaacetic acid,Nitrilotris(ethylenenitrilo)hexaacetic acid
"1,4-Bis[2,5,5-tris(carboxymethyl)-2,5-diazapentyl]benzene (PXED3A)",PXED3A
Glycylglycine (Diglycine),Diglycine
Glycyl-beta-alanine (Glycyl-3-aminopropanoic acid),Glycyl-3-aminopropanoic acid
Glycyl-4-aminobutanoic acid,Glycyl-4-aminobutanoic acid
Glycyl-L-alanine,Glycyl-L-alanine
Glycyl-L-alan-2-ene,Glycyl-L-alan-2-ene
Glycyl-DL-2-aminobutanoic acid,Glycyl-DL-2-aminobutanoic acid
Glycyl-DL-norvaline,Glycyl-DL-norvaline
Glycyl-DL-norleucine,Glycyl-DL-norleucine
Glycyl-L-valine,Glycyl-L-valine
Glycyl-L-val-2-ene,Glycyl-L-val-2-ene
Glycyl-L-leucine,Glycyl-L-leucine
Glycyl-L-leuc-2-ene,Glycyl-L-leuc-2-ene
Glycyl-L-isoleucine,Glycyl-L-isoleucine
Glycyl-L-phenylalanine,Glycyl-L-phenylalanine
Glycyl-L-phenylalan-2-ene,Glycyl-L-phenylalan-2-ene
Glycylsarcosine,Glycylsarcosine
Glycyl-L-proline,Glycyl-L-proline
Glycyl-L-aspartic acid,Glycyl-L-aspartic acid
Glycyl-L-glutamic acid,Glycyl-L-glutamic acid
Glycyl-DL-phosphoserine (Glycyl-DL-serine dihydrogenphosphate),Glycyl-DL-serine dihydrogenphosphate
Glycyl-L-tyrosine,Glycyl-L-tyrosine
Glycyl-L-serine,Glycyl-L-serine
Glycyl-L-threonine,Glycyl-L-threonine
Glycyl-L-hydroxyproline,Glycyl-L-hydroxyproline
Glycyl-L-asparagine,Glycyl-L-asparagine
Glycyl-L-cysteine,Glycyl-L-cysteine
Glycyl-L-S-methylcysteine,Glycyl-L-S-methylcysteine
Glycyl-L-methionine,Glycyl-L-methionine
Glycyl-L-lysine,Glycyl-L-lysine
Glycyl-L-histidine,Glycyl-L-histidine
beta-Alanylglycine,beta-Alanylglycine
L-Alanylglycine,L-Alanylglycine
L-Valylglycine,L-Valylglycine
L-Leucylglycine,L-Leucylglycine
L-Isoleucylglycine,L-Isoleucylglycine
L-Phenylalanylglycine,L-Phenylalanylglycine
Sarcosylglycine,Sarcosylglycine
L-Prolylglycine,L-Prolylglycine
L-Aspartylglycine,L-Aspartylglycine
L-Glutamylglycine,L-Glutamylglycine
DL-Phosphoserylglycine (DL-Serylglycine dihydrogenphosphate),DL-Serylglycine dihydrogenphosphate
L-Tyrosylglycine,L-Tyrosylglycine
L-Serylglycine,L-Serylglycine
L-Threonylglycine,L-Threonylglycine
L-Cysteinylglycine,L-Cysteinylglycine
L-S-Methylcysteinylglycine,L-S-Methylcysteinylglycine
L-Methionylglycine,L-Methionylglycine
L-Lysylglycine,L-Lysylglycine
L-Histidylglycine,L-Histidylglycine
beta-Alanyl-beta-alanine,beta-Alanyl-beta-alanine
beta-Alanyl-L-histidine (L-Carnosine),L-Carnosine
beta-Alanyl-L-1-methylhistidine (L-Anserine),L-Anserine
L-Alanyl-L-alanine,L-Alanyl-L-alanine
L-Alanyl-D-alanine,L-Alanyl-D-alanine
L-Alanyl-2-methylalanine,L-Alanyl-2-methylalanine
L-Alanyl-L-leucine,L-Alanyl-L-leucine
D-Alanyl-L-leucine,D-Alanyl-L-leucine
L-Alanyl-L-phenylalanine,L-Alanyl-L-phenylalanine
L-Alanyl-D-phenylalanine,L-Alanyl-D-phenylalanine
L-Alanyl-L-proline,L-Alanyl-L-proline
L-Alanyl-L-arginine,L-Alanyl-L-arginine
L-Alanyl-L-cysteine,L-Alanyl-L-cysteine
L-Alanyl-L-histidine,L-Alanyl-L-histidine
L-Valyl-L-alanine,L-Valyl-L-alanine
L-Valyl-L-alan-2-ene,L-Valyl-L-alan-2-ene
L-Leucyl-L-alanine,L-Leucyl-L-alanine
L-Leucyl-D-alanine,L-Leucyl-D-alanine
L-Phenylalanyl-L-alan-2-ene,L-Phenylalanyl-L-alan-2-ene
L-Aspartyl-L-alanine,L-Aspartyl-L-alanine
L-Glutamyl-L-alanine,L-Glutamyl-L-alanine
L-Tyrosyl-L-alanine,L-Tyrosyl-L-alanine
L-Tyrosyl-D-alanine,L-Tyrosyl-D-alanine
L-Prolyl-L-alanine,L-Prolyl-L-alanine
L-Prolyl-D-alanine,L-Prolyl-D-alanine
L-Valyl-L-valine,L-Valyl-L-valine
L-Valyl-D-valine,L-Valyl-D-valine
L-Valyl-L-phenylalanine,L-Valyl-L-phenylalanine
L-Valyl-D-phenylalanine,L-Valyl-D-phenylalanine
L-Valyl-L-lysine,L-Valyl-L-lysine
L-Phenylalanyl-L-valine,L-Phenylalanyl-L-valine
L-Phenylalanyl-D-valine,L-Phenylalanyl-D-valine
L-Methionyl-L-valine,L-Methionyl-L-valine
L-Methionyl-D-valine,L-Methionyl-D-valine
L-Leucyl-L-leucine (also D-Leucyl-D-leucine),also D-Leucyl-D-leucine
D-Leucyl-L-leucine (also L-Leucyl-D-leucine),also L-Leucyl-D-leucine
L-Leucyl-L-isoleucine,L-Leucyl-L-isoleucine
D-Leucyl-L-isoleucine,D-Leucyl-L-isoleucine
L-Leucyl-L-phenylalanine,L-Leucyl-L-phenylalanine
L-Leucyl-D-phenylalanine,L-Leucyl-D-phenylalanine
L-Leucyl-L-tyrosine,L-Leucyl-L-tyrosine
D-Leucyl-L-tyrosine,D-Leucyl-L-tyrosine
L-Leucyl-L-histidine,L-Leucyl-L-histidine
L-Phenylalanyl-L-leucine,L-Phenylalanyl-L-leucine
L-Prolyl-L-leucine,L-Prolyl-L-leucine
L-Tyrosyl-L-leucine,L-Tyrosyl-L-leucine
L-Tyrosyl-D-leucine,L-Tyrosyl-D-leucine
L-Seryl-L-leucine,L-Seryl-L-leucine
L-Phosphoseryl-L-leucine (L-Seryl-L-leucine dihydrogen phosphate),L-Seryl-L-leucine dihydrogen phosphate
L-O-Phenylphosphoseryl-L-leucine (L-O-Phenylseryl-L-leucine dihydrogenphosphate),L-O-Phenylseryl-L-leucine dihydrogenphosphate
2-Methylalanyl-2-methylalanine,2-Methylalanyl-2-methylalanine
L-Phenylalanyl-L-phenylalanine,L-Phenylalanyl-L-phenylalanine
L-Phenylalanyl-L-tyrosine,L-Phenylalanyl-L-tyrosine
L-Phenylalanyl-L-cysteine,L-Phenylalanyl-L-cysteine
L-Phenylalanyl-L-methionine,L-Phenylalanyl-L-methionine
L-Tyrosyl-L-phenylalanine,L-Tyrosyl-L-phenylalanine
L-Tyrosyl-D-phenylalanine,L-Tyrosyl-D-phenylalanine
L-Methionyl-L-phenylalanine,L-Methionyl-L-phenylalanine
L-Methionyl-D-phenylalanine,L-Methionyl-D-phenylalanine
L-Prolyl-L-phenylalanine,L-Prolyl-L-phenylalanine
L-Prolyl-D-phenylalanine,L-Prolyl-D-phenylalanine
L-Histidyl-L-phenylalanine,L-Histidyl-L-phenylalanine
L-Tyrosyl-L-tyrosine,L-Tyrosyl-L-tyrosine
L-Tyrosyl-D-tyrosine,L-Tyrosyl-D-tyrosine
L-Tyrosyl-L-glutamic acid,L-Tyrosyl-L-glutamic acid
L-Tyrosyl-D-glutamic acid,L-Tyrosyl-D-glutamic acid
L-Tyrosyl-L-arginine,L-Tyrosyl-L-arginine
L-Tyrosyl-D-arginine,L-Tyrosyl-D-arginine
L-Tyrosyl-L-proline,L-Tyrosyl-L-proline
L-Tyrosyl-L-lysine,L-Tyrosyl-L-lysine
L-Tyrosyl-L-histidine,L-Tyrosyl-L-histidine
L-Tyrosyl-D-histidine,L-Tyrosyl-D-histidine
L-Lysyl-L-tyrosine,L-Lysyl-L-tyrosine
L-Histidyl-L-tyrosine,L-Histidyl-L-tyrosine
L-Tyrosyl-L-tryptophan,L-Tyrosyl-L-tryptophan
L-Tyrosyl-D-tryptophan,L-Tyrosyl-D-tryptophan
L-1-Aspartyl-L-3-phenylalanine methylester (Aspartame),Aspartame
"L-1-Aspartyl-D-alanine 2,2,4,4-tetramethyl-3-thietanylamide (Alitame)",Alitame
L-1-Aspartyl-L-3-phenylalanine amide,L-1-Aspartyl-L-3-phenylalanine amide
L-Aspartyl-L-3-phenylalanine thioamide,L-Aspartyl-L-3-phenylalanine thioamide
L-1-Glutamyl-L-7-lysine,L-1-Glutamyl-L-7-lysine
L-5-Glutamyl-L-7-lysine,L-5-Glutamyl-L-7-lysine
L-Seryl-L-glutamic acid,L-Seryl-L-glutamic acid
L-Phosphoseryl-L-glutamic acid (L-Seryl-L-glutamic acid dihydrogenphosphate),L-Seryl-L-glutamic acid dihydrogenphosphate
L-Seryl-L-lysine,L-Seryl-L-lysine
L-Phosphoseryl-L-lysine (L-Seryl-L-lysine dihydrogenphosphate),L-Seryl-L-lysine dihydrogenphosphate
L-Lysyl-L-alanine,L-Lysyl-L-alanine
L-Lysyl-D-alanine,L-Lysyl-D-alanine
L-Lysyl-L-lysine,L-Lysyl-L-lysine
L-Lysyl-D-lysine,L-Lysyl-D-lysine
L-Histidyl-L-lysine,L-Histidyl-L-lysine
L-Pyroglutamyl-L-histidine,L-Pyroglutamyl-L-histidine
L-Picolyl-L-histidine,L-Picolyl-L-histidine
L-Histidyl-L-histidine,L-Histidyl-L-histidine
D-Histidyl-L-histidine,D-Histidyl-L-histidine
N-(Mercaptoacetyl)-L-histidine,N-(Mercaptoacetyl)-L-histidine
N-(3-Mercaptopropionyl)-L-histidine,N-(3-Mercaptopropionyl)-L-histidine
L-S-Methylcysteinyl-L-S-methylcysteine,L-S-Methylcysteinyl-L-S-methylcysteine
L-S-Methylcysteinyl-L-methionine,L-S-Methylcysteinyl-L-methionine
L-S-Methylcysteinyl-D-methionine,L-S-Methylcysteinyl-D-methionine
L-Methionyl-L-S-methylcysteine,L-Methionyl-L-S-methylcysteine
D-Methionyl-L-S-methylcysteine,D-Methionyl-L-S-methylcysteine
L-Methionyl-L-methionine,L-Methionyl-L-methionine
L-Methionyl-D-methionine,L-Methionyl-D-methionine
L-Methionyl-L-histidine,L-Methionyl-L-histidine
L-Histidyl-L-methionine,L-Histidyl-L-methionine
L-Prolyl-L-histidine,L-Prolyl-L-histidine
D-Prolyl-L-histidine,D-Prolyl-L-histidine
Glycylglycylglycine (Triglycine),Triglycine
Glycylglycyl-beta-alanine,Glycylglycyl-beta-alanine
Glycyl-beta-alanylglycine,Glycyl-beta-alanylglycine
beta-Alanylglycylglycine,beta-Alanylglycylglycine
Glycylglycyl-L-alanine,Glycylglycyl-L-alanine
Glycyl-L-alanylglycine,Glycyl-L-alanylglycine
L-Alanylglycylglycine,L-Alanylglycylglycine
Glycyl-L-alanyl-L-alanine,Glycyl-L-alanyl-L-alanine
Glycyl-L-alanyl-D-alanine,Glycyl-L-alanyl-D-alanine
L-Alanyl-L-alanyl-L-alanine,L-Alanyl-L-alanyl-L-alanine
L-Alanyl-L-alanyl-D-alanine,L-Alanyl-L-alanyl-D-alanine
L-Alanyl-D-alanyl-L-alanine,L-Alanyl-D-alanyl-L-alanine
D-Alanyl-L-alanyl-L-alanine,D-Alanyl-L-alanyl-L-alanine
D-Alanyl-D-alanyl-D-alanine,D-Alanyl-D-alanyl-D-alanine
L-Valylglycylglycine,L-Valylglycylglycine
Glycylglycyl-L-leucine,Glycylglycyl-L-leucine
Glycyl-L-leucylglycine,Glycyl-L-leucylglycine
L-Leucylglycylglycine,L-Leucylglycylglycine
Glycyl-L-leucyl-L-leucine,Glycyl-L-leucyl-L-leucine
Glycyl-L-leucyl-D-leucine,Glycyl-L-leucyl-D-leucine
Glycyl-D-leucyl-L-leucine,Glycyl-D-leucyl-L-leucine
L-Leucylglycyl-L-leucine,L-Leucylglycyl-L-leucine
L-Leucylglycyl-D-leucine,L-Leucylglycyl-D-leucine
D-Leucylglycyl-L-leucine,D-Leucylglycyl-L-leucine
L-Leucyl-L-leucylglycine,L-Leucyl-L-leucylglycine
L-Leucyl-D-leucylglycine,L-Leucyl-D-leucylglycine
D-Leucyl-L-leucylglycine,D-Leucyl-L-leucylglycine
L-Leucyl-L-leucyl-L-leucine,L-Leucyl-L-leucyl-L-leucine
Glycyl-2-methylalanylglycine,Glycyl-2-methylalanylglycine
DL-Alanyl-2-methylalanyl-2-methylalanine,DL-Alanyl-2-methylalanyl-2-methylalanine
2-Methylalanyl-2-methylalanyl-2-methylalanine,2-Methylalanyl-2-methylalanyl-2-methylalanine
L-Phenylalanyl-L-phenylalanyl-L-phenylalanine,L-Phenylalanyl-L-phenylalanyl-L-phenylalanine
L-Aspartyl-L-aspartyl-L-aspartic acid,L-Aspartyl-L-aspartyl-L-aspartic acid
Glycylglycyl-L-tyrosine,Glycylglycyl-L-tyrosine
Glycyl-L-tyrosylglycine,Glycyl-L-tyrosylglycine
L-Tyrosylglycylglycine,L-Tyrosylglycylglycine
Glycyl-L-leucyl-L-tyrosine,Glycyl-L-leucyl-L-tyrosine
L-Tyrosyl-L-tyrosyl-L-tyrosine,L-Tyrosyl-L-tyrosyl-L-tyrosine
Glycylglycyl-L-cysteine,Glycylglycyl-L-cysteine
L-Alanyl-L-alanyl-L-cysteine,L-Alanyl-L-alanyl-L-cysteine
Glycylglycylsarcosine,Glycylglycylsarcosine
Glycylsarcosylglycine,Glycylsarcosylglycine
L-Prolyl-L-prolylglycine,L-Prolyl-L-prolylglycine
Glycyl-DL-phosphoserylglycine (Glycyl-DL-serylglycine dihydrogenphosphate),Glycyl-DL-serylglycine dihydrogenphosphate
L-Tyrosyl-L-prolyl-L-phenylalanine,L-Tyrosyl-L-prolyl-L-phenylalanine
Glycyl-DL-serylglycine,Glycyl-DL-serylglycine
Glycylglycyl-L-histidine,Glycylglycyl-L-histidine
Glycyl-L-histidylglycine,Glycyl-L-histidylglycine
L-Histidyl-L-prolyl-L-phenylalanine,L-Histidyl-L-prolyl-L-phenylalanine
L-Aspartyl-L-alanyl-L-histidine methylamide,L-Aspartyl-L-alanyl-L-histidine methylamide
N-Acetyl-L-tyrosyl-L-isoleucyl-L-histidine,N-Acetyl-L-tyrosyl-L-isoleucyl-L-histidine
N-Benzoylglycyl-L-histdyl-L-leucine,N-Benzoylglycyl-L-histdyl-L-leucine
Glycyl-L-histidyl-L-lysine,Glycyl-L-histidyl-L-lysine
L-Alanyl-L-lysyl-L-alanine,L-Alanyl-L-lysyl-L-alanine
L-Alanyl-D-lysyl-L-alanine,L-Alanyl-D-lysyl-L-alanine
L-Alanyl-L-lysyl-D-alanine,L-Alanyl-L-lysyl-D-alanine
L-Arginyl-L-lysyl-L-aspartic acid,L-Arginyl-L-lysyl-L-aspartic acid
D-Arginyl-L-lysyl-L-aspartic acid,D-Arginyl-L-lysyl-L-aspartic acid
L-Arginyl-D-lysyl-L-aspartic acid,L-Arginyl-D-lysyl-L-aspartic acid
L-Arginyl-L-lysyl-D-aspartic acid,L-Arginyl-L-lysyl-D-aspartic acid
L-Lysyl-L-lysyl-L-lysine,L-Lysyl-L-lysyl-L-lysine
L-Lysyl-D-lysyl-L-lysine,L-Lysyl-D-lysyl-L-lysine
L-Lysyl-D-lysyl-D-lysine,L-Lysyl-D-lysyl-D-lysine
L-5-Glutamyl-L-cysteinylglycine (Glutathione),Glutathione
L-5-Glutamyl-(S-methyl-L-cysteinyl)glycine (S-methylglutathione),S-methylglutathione
N-(Mercaptoacetyl)glycyl-L-histidine,N-(Mercaptoacetyl)glycyl-L-histidine
Glycylglycylglycylglycine (Tetraglycine),Tetraglycine
L-Alanylglycylglycylglycine,L-Alanylglycylglycylglycine
L-Alanyl-L-alanyl-L-alanyl-L-alanine,L-Alanyl-L-alanyl-L-alanyl-L-alanine
L-Alanyl-L-alanyl-D-alanyl-L-alanine,L-Alanyl-L-alanyl-D-alanyl-L-alanine
L-Alanyl-D-alanyl-L-alanyl-L-alanine,L-Alanyl-D-alanyl-L-alanyl-L-alanine
D-Alanyl-L-alanyl-L-alanyl-L-alanine,D-Alanyl-L-alanyl-L-alanyl-L-alanine
Glycylglycyl-2-methylalanylglycine,Glycylglycyl-2-methylalanylglycine
2-Methylalanyl-2-methylalanyl-2-methylalanylglycine,2-Methylalanyl-2-methylalanyl-2-methylalanylglycine
2-Methylalanyl-2-methylalanyl-2-methylalanyl-2-methylalanine,2-Methylalanyl-2-methylalanyl-2-methylalanyl-2-methylalanine
Glycylglycylglycylsarcosine,Glycylglycylglycylsarcosine
Glycylglycylsarcosylglycine,Glycylglycylsarcosylglycine
Glycylsarcosylglycylglycine,Glycylsarcosylglycylglycine
Sarcosylglycylglycylglycine,Sarcosylglycylglycylglycine
Glycylglycylglycyl-L-proline,Glycylglycylglycyl-L-proline
Glycylglycyl-L-prolylglycine,Glycylglycyl-L-prolylglycine
Glycyl-L-prolylglycylglycine,Glycyl-L-prolylglycylglycine
L-Prolylglycylglycylglycine,L-Prolylglycylglycylglycine
L-Alanyl-L-alanyl-L-alanyl-L-proline,L-Alanyl-L-alanyl-L-alanyl-L-proline
L-Alanyl-L-alanyl-L-prolyl-L-alanine,L-Alanyl-L-alanyl-L-prolyl-L-alanine
L-Alanyl-L-prolyl-L-alanyl-L-alanine,L-Alanyl-L-prolyl-L-alanyl-L-alanine
L-Prolyl-L-alanyl-L-alanyl-L-alanine,L-Prolyl-L-alanyl-L-alanyl-L-alanine
Glycyl-L-prolylglycyl-L-phenylalanine,Glycyl-L-prolylglycyl-L-phenylalanine
Glycyl-L-prolyl-L-phenylalanylglycine,Glycyl-L-prolyl-L-phenylalanylglycine
Glycyl-L-prolyl-D-phenylalanylglycine,Glycyl-L-prolyl-D-phenylalanylglycine
L-Phenylalanyl-L-prolylglycylglycine,L-Phenylalanyl-L-prolylglycylglycine
L-Phenylalanylglycyl-L-prolyl-L-phenylalanine,L-Phenylalanylglycyl-L-prolyl-L-phenylalanine
L-Alanyl-L-alanyl-L-alanyl-L-aspartic acid,L-Alanyl-L-alanyl-L-alanyl-L-aspartic acid
L-Alanyl-L-alanyl-L-aspartyl-L-alanine,L-Alanyl-L-alanyl-L-aspartyl-L-alanine
L-Alanyl-L-aspartyl-L-alanyl-L-alanine,L-Alanyl-L-aspartyl-L-alanyl-L-alanine
L-Aspartyl-L-alanyl-L-alanyl-L-alanine,L-Aspartyl-L-alanyl-L-alanyl-L-alanine
L-Alanyl-L-alanyl-L-glutamyl-L-alanine,L-Alanyl-L-alanyl-L-glutamyl-L-alanine
L-Alanyl-L-glutamyl-L-alanyl-L-alanine,L-Alanyl-L-glutamyl-L-alanyl-L-alanine
L-Glutamyl-L-alanyl-L-alanyl-L-alanine,L-Glutamyl-L-alanyl-L-alanyl-L-alanine
L-Alanyl-L-aspartyl-L-aspartyl-L-alanine,L-Alanyl-L-aspartyl-L-aspartyl-L-alanine
L-Aspartyl-L-alanyl-L-alanyl-L-aspartic acid,L-Aspartyl-L-alanyl-L-alanyl-L-aspartic acid
L-Alanyl-L-aspartyl-L-alanyl-L-aspartic acid,L-Alanyl-L-aspartyl-L-alanyl-L-aspartic acid
L-Alanyl-L-alanyl-L-aspartyl-L-aspartic acid,L-Alanyl-L-alanyl-L-aspartyl-L-aspartic acid
Glycyl-L-prolylglycyl-L-tyrosine,Glycyl-L-prolylglycyl-L-tyrosine
Glycyl-L-prolyl-L-tyrosylglycine,Glycyl-L-prolyl-L-tyrosylglycine
L-Tyrosyl-L-prolylglycylglycine,L-Tyrosyl-L-prolylglycylglycine
L-Tyrosylglycyl-L-prolyl-L-phenylalanine,L-Tyrosylglycyl-L-prolyl-L-phenylalanine
L-Phenylalanylglycyl-L-prolyl-L-tyrosine,L-Phenylalanylglycyl-L-prolyl-L-tyrosine
L-Tyrosylglycyl-L-prolyl-L-tyrosine,L-Tyrosylglycyl-L-prolyl-L-tyrosine
L-Tyrosyl-L-prolylglycyl-L-tyrosine,L-Tyrosyl-L-prolylglycyl-L-tyrosine
L-Aspartyl-L-arginyl-L-valyl-L-tyrosine,L-Aspartyl-L-arginyl-L-valyl-L-tyrosine
L-Alanyl-L-aspartyl-L-serylglycine,L-Alanyl-L-aspartyl-L-serylglycine
L-Alanyl-L-aspartyl(2-methyl-2-propylester)-L-serylglycine,L-Alanyl-L-aspartyl(2-methyl-2-propylester)-L-serylglycine
L-Alanyl-L-aspartyl-L-O-(phenylmethyl)serylglycine,L-Alanyl-L-aspartyl-L-O-(phenylmethyl)serylglycine
Glycylglycyl-L-prolyl-L-lysine,Glycylglycyl-L-prolyl-L-lysine
L-Alanyl-L-lysyl-L-alanyl-L-alanine,L-Alanyl-L-lysyl-L-alanyl-L-alanine
L-Alanyl-D-lysyl-L-alanyl-L-alanine,L-Alanyl-D-lysyl-L-alanyl-L-alanine
L-Arginyl-L-lysyl-L-aspartyl-L-valine,L-Arginyl-L-lysyl-L-aspartyl-L-valine
L-Arginyl-L-lysyl(L-arginyl)-L-aspartic acid,L-Arginyl-L-lysyl(L-arginyl)-L-aspartic acid
Glycylglycylglycyl-L-histidine,Glycylglycylglycyl-L-histidine
L-Alanylglycylglycyl-L-histidine,L-Alanylglycylglycyl-L-histidine
Glycylglycyl-L-histidyl-L-alanine,Glycylglycyl-L-histidyl-L-alanine
Glycyl-L-histidylglycyl-L-histidine,Glycyl-L-histidylglycyl-L-histidine
L-Alanylglycylglycyl-L-(N(Im)-benzoxymethyl)histidine,L-Alanylglycylglycyl-L-(N(Im)-benzoxymethyl)histidine
N-(2-Methyl-2-propyloxycarbonyl)-L-alanylglycylglycyl-L-histidine,N-(2-Methyl-2-propyloxycarbonyl)-L-alanylglycylglycyl-L-histidine
L-Alanylglycylglycyl-L-histidine methylester,L-Alanylglycylglycyl-L-histidine methylester
L-Alanylglycyl-L-prolyl-L-histidine,L-Alanylglycyl-L-prolyl-L-histidine
"L-3,3'-Dithiobis(alanylglycine) (L-Cysteinylglycine disulfide)",L-Cysteinylglycine disulfide
"L-5-Glutamyl-3-(D-2-amino-2-carboxy-1,1-dimethylethyldithio)-L-alanylglycine (Penicillamine-glutatione disulfide)",Penicillamine-glutatione disulfide
Glycylglycylglycylglycylglycine (Pentaglycine),Pentaglycine
Glycylglycylglycylglycyl-L-alanine,Glycylglycylglycylglycyl-L-alanine
L-Alanylglycylglycylglycylglycine,L-Alanylglycylglycylglycylglycine
Glycyl-L-prolylglycyl-L-prolylglycine,Glycyl-L-prolylglycyl-L-prolylglycine
Glycyl-L-prolylglycyl-L-prolylglutamic acid,Glycyl-L-prolylglycyl-L-prolylglutamic acid
Glycyl-L-prolylglycyl-L-prolyl-L-glutamine,Glycyl-L-prolylglycyl-L-prolyl-L-glutamine
L-Arginyl-L-prolylglycyl-L-prolylglycine,L-Arginyl-L-prolylglycyl-L-prolylglycine
Glycyl-L-prolyl-L-prolylglycylglycine,Glycyl-L-prolyl-L-prolylglycylglycine
L-Glutamyl-L-prolyl-L-prolylglycylglycine,L-Glutamyl-L-prolyl-L-prolylglycylglycine
Glycyl-L-prolyl-L-lysyl-L-prolylglycine,Glycyl-L-prolyl-L-lysyl-L-prolylglycine
L-Arginyl-L-prolyl-L-lysyl-L-prolyl-L-glutamine,L-Arginyl-L-prolyl-L-lysyl-L-prolyl-L-glutamine
L-Tyrosyl-L-prolyl-L-phenylalanyl-L-prolylglycine,L-Tyrosyl-L-prolyl-L-phenylalanyl-L-prolylglycine
L-Tyrosylglycylglycyl-L-phenylalanyl-L-leucine (Leucine enkephalin),Leucine enkephalin
L-Tyrosylglycylglycyl-L-phenylalanyl-L-methionine (Methionine enkephalin),Methionine enkephalin
L-Valyl-L-leucyl-L-seryl-L-glutamylglycine,L-Valyl-L-leucyl-L-seryl-L-glutamylglycine
L-Valyl-L-leucyl-L-seryl-L-5-amidoglutamylglycine,L-Valyl-L-leucyl-L-seryl-L-5-amidoglutamylglycine
L-Alanyl-L-lysyl-L-alanyl-L-alanyl-L-alanine,L-Alanyl-L-lysyl-L-alanyl-L-alanyl-L-alanine
L-Alanyl-D-lysyl-L-alanyl-L-alanyl-L-alanine,L-Alanyl-D-lysyl-L-alanyl-L-alanyl-L-alanine
Glycylglycyl-L-histidylglycylglycine,Glycylglycyl-L-histidylglycylglycine
L-Arginyl-L-lysyl-L-aspartyl-L-valyl-L-tyrosine,L-Arginyl-L-lysyl-L-aspartyl-L-valyl-L-tyrosine
L-Phenylalanyl-L-phenylalanyl-L-seryl-L-aspartyl-L-lysine,L-Phenylalanyl-L-phenylalanyl-L-seryl-L-aspartyl-L-lysine
"N(2)[N(2)-(N-Dodecanoyl-L-alanyl)-N(6)-D-glutamyl]-N(6)-[glycyl]-LL-[2,6-diaminoheptanedioic acid 7-amide]","N(2)[N(2)-(N-Dodecanoyl-L-alanyl)-N(6)-D-glutamyl]-N(6)-[glycyl]-LL-[2,6-diaminoheptanedioic acid 7-amide]"
"N(2)[N(2)-(N-Dodecanoyl-L-alanyl)-N(6)-D-glutamyl]-N(6)-[glycyl]-DD-[2,6-diaminoheptanedioic acid 7-amide]","N(2)[N(2)-(N-Dodecanoyl-L-alanyl)-N(6)-D-glutamyl]-N(6)-[glycyl]-DD-[2,6-diaminoheptanedioic acid 7-amide]"
"N(2)[N(2)-(N-Dodecanoyl-L-alanyl)-N(6)-D-glutamyl]-N(6)-[glycyl]-meso-[2,6-diaminoheptanedioic acid 7-amide]","N(2)[N(2)-(N-Dodecanoyl-L-alanyl)-N(6)-D-glutamyl]-N(6)-[glycyl]-meso-[2,6-diaminoheptanedioic acid 7-amide]"
"N,N-[N'',N''''-Di(L-5-glutamyl)-L-cystinyl]di(glycine) (Oxidized glutathione) (Glutathione disulfide)",Glutathione disulfide
Glycylglycylglycylglycylglycylglycine (Hexaglycine),Hexaglycine
L-Prolyl-L-prolylglycyl-L-prolyl-L-prolylglycine [(Pro-pro-gly)2],L-Prolyl-L-prolylglycyl-L-prolyl-L-prolylglycine [(Pro-pro-gly)2]
Glycylglycyl-L-prolylglycylglycylglycyl-L-prolylglycine,Glycylglycyl-L-prolylglycylglycylglycyl-L-prolylglycine
Glycylglycyl-L-prolyl-L-lysylglycylglycyl-L-prolyl-L-lysine,Glycylglycyl-L-prolyl-L-lysylglycylglycyl-L-prolyl-L-lysine
