Ligand,Name,smiles
DL-2-Amino-3-hydroxypentanedioic acid (3-Hydroxyglutamic acid),3-Hydroxyglutamic acid,C(C(C(C(=O)O)N)O)C(=O)O
(3-Aminopropyl)malonic acid,3-Aminopropylmalonic acid,
L-2-Amino-3-phosphopropanoic acid (Phosphoserine),Phosphoserine,C(C(C(=O)O)N)OP(=O)(O)O
L-2-Amino-2-methyl-3-phosphopropanoic acid,L-2-Amino-2-methyl-3-phosphopropanoic acid,
L-2-Amino-3-phosphobutanoic acid (Phosphothreonine),Phosphothreonine,CC(C(C(=O)O)N)OP(=O)(O)O
DL-2-Amino-3-(phenylphospho)propanoic acid,phenylphosphopropanoic acid,
DL-2-Amino-3-phosphonopropanoic acid,DL-2-Amino-3-phosphonopropanoic acid,
DL-2-Amino-4-phosphonobutanoic acid,DL-2-Amino-4-phosphonobutanoic acid,C(CP(=O)(O)O)C(C(=O)O)N
DL-3-Amino-2-phosphonopropanoic acid,DL-3-Amino-2-phosphonopropanoic acid,
D-3-Amino-3-carboxypropanohydroxamic acid (Asparagine hydroxamic acid),Asparagine hydroxamic acid,
DL-2-Amino-3-(2-hydroxyphenyl)propanoic acid (o-Tyrosine),o-Tyrosine,C1=CC=C(C(=C1)CC(C(=O)O)N)O
DL-2-Amino-3-(3-hydroxyphenyl)propanoic acid (m-Tyrosine),m-Tyrosine,C1=CC(=CC(=C1)O)CC(C(=O)O)N
L-2-Amino-3-(4-hydroxyphenyl)propanoic acid (Tyrosine),Tyrosine,C1=CC(=CC=C1CC(C(=O)O)N)O
L-2-Amino-2-methyl-3-(4-hydroxyphenyl)propanoic acid (L-Methyltyrosine),L-Methyltyrosine,
"L-2-Amino-3-(4-hydroxy-3,5-diiodophenyl)propanoic acid (L-3,5-Diiodotyrosine)","L-3,5-Diiodotyrosine",C1=C(C=C(C(=C1I)O)I)CC(C(=O)O)N
DL-2-Amino-3-(3-hydroxy-4-methoxyphenyl)propanoic acid,3-hydroxy-4-methoxyphenylpropanoic acid,
DL-2-Amino-3-(4-hydroxy-3-methoxyphenyl)propanoic acid,4-hydroxy-3-methoxyphenylpropanoic acid,
L-2-Amino-3-(3-amino-4-hydroxyphenyl)propanoic acid (m-Aminotyrosine),m-Aminotyrosine,
"DL-2-Amino-2-(3,4-dihydroxyphenyl)acetic acid (DOPG)",DOPG,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCCCCC=CCCCCCCCC
"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid (DOPA)",DOPA,C1=CC(=C(C=C1CC(C(=O)O)N)O)O
"L-2-Amino-2-methyl-3-(3,4-dihydroxyphenyl)propanoic acid (L-2-MethylDOPA)",L-2-MethylDOPA,
L-2-Amino-3-hydroxypropanoic acid (Serine),Serine,C(C(C(=O)O)N)O
L-2-Amino-3-hydroxybutanoic acid (Threonine),Threonine,CC(C(C(=O)O)N)O
allo-L-2-Amino-3-hydroxybutanoic acid (L-allo-Threonine),L-allo-Threonine,CC(C(C(=O)O)N)O
erythro-2-Amino-3-hydroxy-3-phenylpropanoic acid (erythro-Phenylserine),erythro-Phenylserine,
threo-2-Amino-3-hydroxy-3-phenylpropanoic acid (threo-Phenylserine),threo-Phenylserine,C1=CC=C(C=C1)C(C(C(=O)O)N)O
L-2-Amino-4-hydroxybutanoic acid (Homoserine),Homoserine,C(CO)C(C(=O)O)N
DL-3-Amino-2-hydroxypropanoic acid (Isoserine),Isoserine,C(C(C(=O)O)O)N
DL-4-Amino-3-hydroxybutanoic acid,DL-4-Amino-3-hydroxybutanoic acid,C(C(CN)O)C(=O)O
"L-trans-2-Amino-3-hydroxy-2,3-dihydrobenzoic acid","L-trans-2-Amino-3-hydroxy-2,3-dihydrobenzoic acid",
"D-gluco-2-Amino-3,4,5,6-tetrahydroxyhexanoic acid (D-Glucosaminic acid)",D-Glucosaminic acid,C(C(C(C(C(C(=O)O)N)O)O)O)O
DL-Amino-4-Methoxyphenylacetic acid (4-Methoxyphenylglycine),4-Methoxyphenylglycine,
L-2-Aminobutanedioic acid 4-methyl ester (4-Methyl aspartate),4-Methyl aspartate,
DL-2-Aminopentanedioic acid 5-ethyl ester (5-Ethyl glutamate),5-Ethyl glutamate,
L-2-Aminopentanedioic acid 5-benzyl ester (5-Benzyl glutamate),5-Benzyl glutamate,
DL-2-Aminopentanedioic acid 1-ethyl ester (1-Ethyl glutamate),1-Ethyl glutamate,
L-2-Aminobutanedioic acid 4-amide (Asparagine),Asparagine,C(C(C(=O)O)N)C(=O)N
L-2-Aminopentanedioic acid 5-amide (Glutamine),Glutamine,C(CC(=O)N)C(C(=O)O)N
L-2-Amino-6-(2-methylpropamido)hexanoic acid (N(6)-Isobutyroyl-L-lysine),6-Isobutyroyl-L-lysine,
L-2-Amino-6-acetamidohexanoic acid (N(6)-Acetyl-L-lysine),6-Acetyl-L-lysine,
L-2-Amino-3-(oxalylamido)propanoic acid,oxalylamidopropanoic acid,
N(6)-d-Biotinyl-L-lysine (d-Biocytin),d-Biocytin,
d-Biocytin sulfoxide,d-Biocytin sulfoxide,
d-Biocytin sulfone,d-Biocytin sulfone,
L-2-Amino-5-ureidopentanoic acid (Citrulline),Citrulline,C(CC(C(=O)O)N)CNC(=O)N
DL-2-Amino-3-methoxypropanoic acid (3-Methoxyalanine),3-Methoxyalanine,COCC(C(=O)O)N
L-2-Amino-3-(phenylmethoxy)propanoic acid (O-Benzylserine),O-Benzylserine,C1=CC=C(C=C1)COCC(C(=O)O)N
L-2-Amino-3-(4-methoxyphenyl)propanoic acid (4-Methoxyphenylalanine),4-Methoxyphenylalanine,COC1=CC=C(C=C1)CC(C(=O)O)N
"DL-2-Amino-3-(3,4-dimethoxyphenyl)propanoic acid (3,4-Dimethoxyphenylalanine)","3,4-Dimethoxyphenylalanine",COC1=C(C=C(C=C1)CC(C(=O)O)N)OC
L-2-Amino-3-mercaptopropanoic acid (Cysteine),Cysteine,C(C(C(=O)O)N)S
D-2-Amino-3-mercapto-3-methylbutanoic acid (Penicillamine),Penicillamine,CC(C)(C(C(=O)O)N)S
DL-2-Amino-3-mercapto-3-methylpentanoic acid,DL-2-Amino-3-mercapto-3-methylpentanoic acid,
DL-2-Amino-4-mercaptobutanoic acid (Homocysteine),Homocysteine,C(CS)C(C(=O)O)N
DL-2-Amino-3-(2-mercaptoimidazo-4-yl)propanoic acid (Thiohistidine),Thiohistidine,C1=C(NC(=S)N1)CC(C(=O)O)N
L-2-Amino-3-(methylthio)propanoic acid (S-Methylcysteine),S-Methylcysteine,CSCC(C(=O)O)N
L-2-Amino-3-(ethylthio)propanoic acid (S-Ethylcysteine),S-Ethylcysteine,CCSCC(C(=O)O)N
L-2-Amino-4-(methylthio)butanoic acid (Methionine),Methionine,CSCCC(C(=O)O)N
L-2-Amino-4-(ethylthio)butanoic acid (Ethionine),Ethionine,CCSCCC(C(=O)O)N
L-2-Amino-3-(carboxymethylthio)propanoic acid,carboxymethylthiopropanoic acid,
L-2-Amino-3-(2-carboxyethylthio)propanoic acid,2-carboxyethylthiopropanoic acid,
L-2-Amino-3-(2-hydroxyethylthio)propanoic acid,2-hydroxyethylthiopropanoic acid,
L-2-Amino-3-(2-acetamidoethylthio)propanoic acid,2-acetamidoethylthiopropanoic acid,
L-2-Amino-3-(2-acetamidoethylsulfinyl)propanoic acid,2-acetamidoethylsulfinylpropanoic acid,
L-2-Amino-3-(2-acetamidoethylsulfonyl)propanoic acid,2-acetamidoethylsulfonylpropanoic acid,
L-2-Amino-3-(2-Cyanoethylthio)propanoic acid (L-5-(2-Cyanoethyl)cysteine),2-Cyanoethylcysteine,
L-2-Amino-3-(Ethoxy-3-oxopropylthio)propanoic acid (L-5-(Ethoxy-3-oxopropyl)cysteine),Ethoxy-3-oxopropylcysteine,
L-2-Amino-3-(carboxymethylsulfinyl)propanoic acid,carboxymethylsulfinylpropanoic acid,
L-2-Amino-3-(carboxymethylsulfonyl)propanoic acid,carboxymethylsulfonylpropanoic acid,
5-Amino-3-thiapentanoic acid (S-2-Aminoethylmercaptoacetic acid),S-2-Aminoethylmercaptoacetic acid,
6-Amino-3-thiahexanoic acid (S-3-Aminopropylmercaptoacetic acid),S-3-Aminopropylmercaptoacetic acid,
6-Amino-4-thiahexanoic acid (S-2-Aminoethyl-3-mercaptopropanoic acid),S-2-Aminoethyl-3-mercaptopropanoic acid,
DL-2-(Acetylamino)-3-(2-aminoethylthio)propanoic acid,2-aminoethylthiopropanoic acid,
L-2-Amino-3-(2-aminoethylthio)propanoic acid (S-(2-Aminoethyl)cysteine),2-Aminoethylcysteine,C(CSCC(C(=O)O)N)N
L-2-Amino-3-(2-aminoethylsulfinyl)propanoic acid,2-aminoethylsulfinylpropanoic acid,
L-2-Amino-3-(2-aminoethylsulfonyl)propanoic acid,2-aminoethylsulfonylpropanoic acid,
L-2-Amino-3-(2-aminoethyldithio)propanoic acid,2-aminoethyldithiopropanoic acid,
"L-2,3-Diaminopropanoic acid","L-2,3-Diaminopropanoic acid",C(C(C(=O)O)N)N
L-2-Amino-3-(methylamino)propanoic acid,methylaminopropanoic acid,
"L-2,4-Diaminobutanoic acid","L-2,4-Diaminobutanoic acid",C(CN)C(C(=O)O)N
"L-2,5-Diaminopentanoic acid (Ornithine)",Ornithine,C(CC(C(=O)O)N)CN
"L-2,6-Diaminohexanoic acid (Lysine)",Lysine,C(CCN)CC(C(=O)O)N
"DL-2,7-Diaminooctanedioic acid","DL-2,7-Diaminooctanedioic acid",
"DL-2,6-Diamino-5-hydroxyhexanoic acid","DL-2,6-Diamino-5-hydroxyhexanoic acid",
"L-3,3'-Dithiobis(2-aminopropanoic acid) (Cystine)",Cystine,C(C(C(=O)O)N)SSCC(C(=O)O)N
"D-3,3'-Dithiobis(2-amino-3-methylbutanoic acid) (Penicillamine disulfide)",Penicillamine disulfide,CC(C)(C(C(=O)O)N)SSC(C)(C)C(C(=O)O)N
"DL-4,4'-Dithiobis(2-aminobutanoic acid) (Homocystine)",Homocystine,C(CSSCCC(C(=O)O)N)C(C(=O)O)N
"L-Methylenedithio-3,3'-bis(2-aminopropanoic acid) (Dienkolic acid)",Dienkolic acid,
"L-Ethylenedithio-3,3'-bis(2-aminopropanoic acid)",2-aminopropanoic acid,CC(C(=O)O)N
"L-Trimethylenedithio-3,3'-bis(2-aminopropanoic acid)",2-aminopropanoic acid,CC(C(=O)O)N
"L-Tetramethylenedithio-3,3'-bis(2-aminopropanoic acid)",2-aminopropanoic acid,CC(C(=O)O)N
"L-2-Hydroxytrimethylenedithio-3,3'-bis(2-aminopropanoic acid)",2-aminopropanoic acid,CC(C(=O)O)N
L-2-Amino-3-(4-imidazolyl)propanoic acid (Histidine),Histidine,C1=C(NC=N1)CC(C(=O)O)N
L-2-Amino-3-(N(1)-methyl-4-imidazolyl)propanoic acid (N(1)-Methyl-L-histidine),1-Methyl-L-histidine,CN1C=C(N=C1)CC(C(=O)O)N
L-2-Amino-3-(N(3)-methyl-4-imidazolyl)propanoic acid (N(3)-Methyl-L-histidine),3-Methyl-L-histidine,CN1C=NC=C1CC(C(=O)O)N
"L-4-(2-Amino-3-carboxypropyl)-1,3-dimethylimidazolium ion (N(1,3)-Dimethyl-L-histidine)","1,3-Dimethyl-L-histidine",CN1CN(C(=C1)CC(C(=O)O)N)C
L-1-Carboxy-2-(4-imidazolyl)ethyl(dimethyl)ammonium ion (N(alpha)-Dimethyl-L-histidine),alpha-Dimethyl-L-histidine,
L-1-Carboxy-2-(4-imidazolyl)ethyl(trimethyl)ammonium ion (N(alpha)-Trimethyl-L-histidine),alpha-Trimethyl-L-histidine,
L-2-Amino-3-(N(3)-benzyl-4-imidazolyl)propanoic acid (N(3)-Benzyl-L-histidine),3-Benzyl-L-histidine,
L-2-Amino-3-(5-iodo-4-imidazolyl)propanoic acid (5-Iodo-Histidine),5-Iodo-Histidine,
"L-2-Amino-3-(2,5-diiodo-4-imidazolyl)propanoic acid (2,5-Diiodo-Histidine)","2,5-Diiodo-Histidine",
L-2-Amino-3-(3-indolyl)propanoic acid (Tryptophan),Tryptophan,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
L-2-Amino-3-(1-methyl-3-indolyl)propanoic acid (1-Methyltryptopan),1-Methyltryptopan,
DL-2-Amino-3-(5-hydroxy-3-indolyl)propanoic acid (5-Hydroxytryptopan),5-Hydroxytryptopan,
