Ligand,Name,smiles
Glycyl-L-prolylglycyl-L-phenylalanine,Glycyl-L-prolylglycyl-L-phenylalanine,
Glycyl-L-prolyl-L-phenylalanylglycine,Glycyl-L-prolyl-L-phenylalanylglycine,
Glycyl-L-prolyl-D-phenylalanylglycine,Glycyl-L-prolyl-D-phenylalanylglycine,
L-Phenylalanyl-L-prolylglycylglycine,L-Phenylalanyl-L-prolylglycylglycine,
L-Phenylalanylglycyl-L-prolyl-L-phenylalanine,L-Phenylalanylglycyl-L-prolyl-L-phenylalanine,
L-Alanyl-L-alanyl-L-alanyl-L-aspartic acid,L-Alanyl-L-alanyl-L-alanyl-L-aspartic acid,
L-Alanyl-L-alanyl-L-aspartyl-L-alanine,L-Alanyl-L-alanyl-L-aspartyl-L-alanine,
L-Alanyl-L-aspartyl-L-alanyl-L-alanine,L-Alanyl-L-aspartyl-L-alanyl-L-alanine,
L-Aspartyl-L-alanyl-L-alanyl-L-alanine,L-Aspartyl-L-alanyl-L-alanyl-L-alanine,
L-Alanyl-L-alanyl-L-glutamyl-L-alanine,L-Alanyl-L-alanyl-L-glutamyl-L-alanine,
L-Alanyl-L-glutamyl-L-alanyl-L-alanine,L-Alanyl-L-glutamyl-L-alanyl-L-alanine,
L-Glutamyl-L-alanyl-L-alanyl-L-alanine,L-Glutamyl-L-alanyl-L-alanyl-L-alanine,
L-Alanyl-L-aspartyl-L-aspartyl-L-alanine,L-Alanyl-L-aspartyl-L-aspartyl-L-alanine,
L-Aspartyl-L-alanyl-L-alanyl-L-aspartic acid,L-Aspartyl-L-alanyl-L-alanyl-L-aspartic acid,
L-Alanyl-L-aspartyl-L-alanyl-L-aspartic acid,L-Alanyl-L-aspartyl-L-alanyl-L-aspartic acid,
L-Alanyl-L-alanyl-L-aspartyl-L-aspartic acid,L-Alanyl-L-alanyl-L-aspartyl-L-aspartic acid,
Glycyl-L-prolylglycyl-L-tyrosine,Glycyl-L-prolylglycyl-L-tyrosine,
Glycyl-L-prolyl-L-tyrosylglycine,Glycyl-L-prolyl-L-tyrosylglycine,
L-Tyrosyl-L-prolylglycylglycine,L-Tyrosyl-L-prolylglycylglycine,
L-Tyrosylglycyl-L-prolyl-L-phenylalanine,L-Tyrosylglycyl-L-prolyl-L-phenylalanine,
L-Phenylalanylglycyl-L-prolyl-L-tyrosine,L-Phenylalanylglycyl-L-prolyl-L-tyrosine,
L-Tyrosylglycyl-L-prolyl-L-tyrosine,L-Tyrosylglycyl-L-prolyl-L-tyrosine,
L-Tyrosyl-L-prolylglycyl-L-tyrosine,L-Tyrosyl-L-prolylglycyl-L-tyrosine,
L-Aspartyl-L-arginyl-L-valyl-L-tyrosine,L-Aspartyl-L-arginyl-L-valyl-L-tyrosine,
L-Alanyl-L-aspartyl-L-serylglycine,L-Alanyl-L-aspartyl-L-serylglycine,
L-Alanyl-L-aspartyl(2-methyl-2-propylester)-L-serylglycine,2-methyl-2-propylester-L-serylglycine,
L-Alanyl-L-aspartyl-L-O-(phenylmethyl)serylglycine,phenylmethylserylglycine,
Glycylglycyl-L-prolyl-L-lysine,Glycylglycyl-L-prolyl-L-lysine,
L-Alanyl-L-lysyl-L-alanyl-L-alanine,L-Alanyl-L-lysyl-L-alanyl-L-alanine,
L-Alanyl-D-lysyl-L-alanyl-L-alanine,L-Alanyl-D-lysyl-L-alanyl-L-alanine,
L-Arginyl-L-lysyl-L-aspartyl-L-valine,L-Arginyl-L-lysyl-L-aspartyl-L-valine,
L-Arginyl-L-lysyl(L-arginyl)-L-aspartic acid,L-arginyl-L-aspartic acid,C(CC(C(=O)NC(CC(=O)O)C(=O)O)N)CN=C(N)N
Glycylglycylglycyl-L-histidine,Glycylglycylglycyl-L-histidine,
L-Alanylglycylglycyl-L-histidine,L-Alanylglycylglycyl-L-histidine,
Glycylglycyl-L-histidyl-L-alanine,Glycylglycyl-L-histidyl-L-alanine,
Glycyl-L-histidylglycyl-L-histidine,Glycyl-L-histidylglycyl-L-histidine,
L-Alanylglycylglycyl-L-(N(Im)-benzoxymethyl)histidine,Im-benzoxymethylhistidine,
N-(2-Methyl-2-propyloxycarbonyl)-L-alanylglycylglycyl-L-histidine,2-Methyl-2-propyloxycarbonyl-L-alanylglycylglycyl-L-histidine,
L-Alanylglycylglycyl-L-histidine methylester,L-Alanylglycylglycyl-L-histidine methylester,
L-Alanylglycyl-L-prolyl-L-histidine,L-Alanylglycyl-L-prolyl-L-histidine,
"L-3,3'-Dithiobis(alanylglycine) (L-Cysteinylglycine disulfide)",L-Cysteinylglycine disulfide,C(C(C(=O)NCC(=O)O)N)SSCC(C(=O)O)N
"L-5-Glutamyl-3-(D-2-amino-2-carboxy-1,1-dimethylethyldithio)-L-alanylglycine (Penicillamine-glutatione disulfide)",Penicillamine-glutatione disulfide,
Glycylglycylglycylglycylglycine (Pentaglycine),Pentaglycine,C(C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)O)N
Glycylglycylglycylglycyl-L-alanine,Glycylglycylglycylglycyl-L-alanine,
L-Alanylglycylglycylglycylglycine,L-Alanylglycylglycylglycylglycine,CC(C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)O)N
Glycyl-L-prolylglycyl-L-prolylglycine,Glycyl-L-prolylglycyl-L-prolylglycine,
Glycyl-L-prolylglycyl-L-prolylglutamic acid,Glycyl-L-prolylglycyl-L-prolylglutamic acid,
Glycyl-L-prolylglycyl-L-prolyl-L-glutamine,Glycyl-L-prolylglycyl-L-prolyl-L-glutamine,
L-Arginyl-L-prolylglycyl-L-prolylglycine,L-Arginyl-L-prolylglycyl-L-prolylglycine,
Glycyl-L-prolyl-L-prolylglycylglycine,Glycyl-L-prolyl-L-prolylglycylglycine,
L-Glutamyl-L-prolyl-L-prolylglycylglycine,L-Glutamyl-L-prolyl-L-prolylglycylglycine,
Glycyl-L-prolyl-L-lysyl-L-prolylglycine,Glycyl-L-prolyl-L-lysyl-L-prolylglycine,
L-Arginyl-L-prolyl-L-lysyl-L-prolyl-L-glutamine,L-Arginyl-L-prolyl-L-lysyl-L-prolyl-L-glutamine,
L-Tyrosyl-L-prolyl-L-phenylalanyl-L-prolylglycine,L-Tyrosyl-L-prolyl-L-phenylalanyl-L-prolylglycine,C1CC(N(C1)C(=O)C(CC2=CC=C(C=C2)O)N)C(=O)NC(CC3=CC=CC=C3)C(=O)N4CCCC4C(=O)NCC(=O)O
L-Tyrosylglycylglycyl-L-phenylalanyl-L-leucine (Leucine enkephalin),Leucine enkephalin,CC(C)CC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)C(CC2=CC=C(C=C2)O)N
L-Tyrosylglycylglycyl-L-phenylalanyl-L-methionine (Methionine enkephalin),Methionine enkephalin,CSCCC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)C(CC2=CC=C(C=C2)O)N
L-Valyl-L-leucyl-L-seryl-L-glutamylglycine,L-Valyl-L-leucyl-L-seryl-L-glutamylglycine,
L-Valyl-L-leucyl-L-seryl-L-5-amidoglutamylglycine,L-Valyl-L-leucyl-L-seryl-L-5-amidoglutamylglycine,
L-Alanyl-L-lysyl-L-alanyl-L-alanyl-L-alanine,L-Alanyl-L-lysyl-L-alanyl-L-alanyl-L-alanine,
L-Alanyl-D-lysyl-L-alanyl-L-alanyl-L-alanine,L-Alanyl-D-lysyl-L-alanyl-L-alanyl-L-alanine,
Glycylglycyl-L-histidylglycylglycine,Glycylglycyl-L-histidylglycylglycine,C1=C(NC=N1)CC(C(=O)NCC(=O)NCC(=O)O)NC(=O)CNC(=O)CN
L-Arginyl-L-lysyl-L-aspartyl-L-valyl-L-tyrosine,L-Arginyl-L-lysyl-L-aspartyl-L-valyl-L-tyrosine,
L-Phenylalanyl-L-phenylalanyl-L-seryl-L-aspartyl-L-lysine,L-Phenylalanyl-L-phenylalanyl-L-seryl-L-aspartyl-L-lysine,
"N(2)[N(2)-(N-Dodecanoyl-L-alanyl)-N(6)-D-glutamyl]-N(6)-[glycyl]-LL-[2,6-diaminoheptanedioic acid 7-amide]","6-[glycyl]-LL-[2,6-diaminoheptanedioic acid 7-amide]",
"N(2)[N(2)-(N-Dodecanoyl-L-alanyl)-N(6)-D-glutamyl]-N(6)-[glycyl]-DD-[2,6-diaminoheptanedioic acid 7-amide]","6-[glycyl]-DD-[2,6-diaminoheptanedioic acid 7-amide]",
"N(2)[N(2)-(N-Dodecanoyl-L-alanyl)-N(6)-D-glutamyl]-N(6)-[glycyl]-meso-[2,6-diaminoheptanedioic acid 7-amide]","6-[glycyl]-meso-[2,6-diaminoheptanedioic acid 7-amide]",
"N,N-[N'',N''''-Di(L-5-glutamyl)-L-cystinyl]di(glycine) (Oxidized glutathione) (Glutathione disulfide)",Glutathione disulfide,C(CC(=O)NC(CSSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N
Glycylglycylglycylglycylglycylglycine (Hexaglycine),Hexaglycine,C(C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)O)N
L-Prolyl-L-prolylglycyl-L-prolyl-L-prolylglycine [(Pro-pro-gly)2],Pro-pro-gly2],
Glycylglycyl-L-prolylglycylglycylglycyl-L-prolylglycine,Glycylglycyl-L-prolylglycylglycylglycyl-L-prolylglycine,
Glycylglycyl-L-prolyl-L-lysylglycylglycyl-L-prolyl-L-lysine,Glycylglycyl-L-prolyl-L-lysylglycylglycyl-L-prolyl-L-lysine,
L-Aspartyl-L-Arginyl-L-valyl-L-tyrosyl-L-isoleucyl-L-histidyl-L-prolyl-L-phenylalanine (Angiotensin II),Angiotensin II,CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)N2CCCC2C(=O)NC(CC3=CC=CC=C3)C(=O)O)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(C(C)C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)N
L-Prolyl-L-prolylglycyl-L-prolyl-L-prolylglycyl-L-prolyl-L-prolylglycine [(Pro-pro-gly)3],Pro-pro-gly3],
L-Pyroglutamyl-L-alanyl-L-lysyl-L-seryl-L-glutamyl-5-amide-glycylglycyl-L-seryl-L-asparagine (Thymulin),Thymulin,CC(C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)NC(CCC(=O)N)C(=O)NCC(=O)NCC(=O)NC(CO)C(=O)NC(CC(=O)N)C(=O)O)NC(=O)C1CCC(=O)N1
L-Pyroglutamyl-L-hystidyl-L-tryptophanyl-L-seryl-L-tyrosylglycyl-L-leucyl-L-arginyl-L-prolylglycine amide (LHRH),LHRH,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(=O)N)NC(=O)CNC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6
L-Arginyl-L-prolyl-L-lysyl-L-prolyl-L-glutamyl-5-amide-L-glutamyl-5-amide-L-phenylalanyl-L-phenylalanylglycyl-L-leucyl-L-methionine amide (Substance P),Substance P,CC(C)CC(C(=O)NC(CCSC)C(=O)N)NC(=O)CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CCC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C3CCCN3C(=O)C(CCCCN)NC(=O)C4CCCN4C(=O)C(CCCN=C(N)N)N
L-Alanyl-L-aspartyl-L-serylglycyl-L-glutamylglycyl-L-aspartyl-L-phenylalanyl-L-leucyl-L-alanyl-L-glutamylglycylglycylglycyl-L-valyl-L-arginine (fibrinopeptide A),fibrinopeptide A,CC(C)CC(C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NCC(=O)NCC(=O)NCC(=O)NC(C(C)C)C(=O)NC(CCCN=C(N)N)C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(C)N
2-Aminobenzoic acid (Anthranilic acid),Anthranilic acid,C1=CC=C(C(=C1)C(=O)O)N
3-Aminobenzoic acid,3-Aminobenzoic acid,C1=CC(=CC(=C1)N)C(=O)O
4-Aminobenzoic acid,4-Aminobenzoic acid,C1=CC(=CC=C1C(=O)O)N
3-Amino-1-naphthoic acid,3-Amino-1-naphthoic acid,C1=CC=C2C(=C1)C=C(C=C2C(=O)O)N
4-Amino-1-naphthoic acid,4-Amino-1-naphthoic acid,C1=CC=C2C(=C1)C(=CC=C2N)C(=O)O
5-Amino-1-naphthoic acid,5-Amino-1-naphthoic acid,C1=CC2=C(C=CC=C2N)C(=C1)C(=O)O
6-Amino-1-naphthoic acid,6-Amino-1-naphthoic acid,C1=CC2=C(C=CC(=C2)N)C(=C1)C(=O)O
8-Amino-1-naphthoic acid,8-Amino-1-naphthoic acid,C1=CC2=C(C(=C1)C(=O)O)C(=CC=C2)N
1-Amino-2-naphthoic acid,1-Amino-2-naphthoic acid,C1=CC=C2C(=C1)C=CC(=C2N)C(=O)O
3-Amino-2-naphthoic acid,3-Amino-2-naphthoic acid,C1=CC=C2C=C(C(=CC2=C1)C(=O)O)N
4-Amino-2-naphthoic acid,4-Amino-2-naphthoic acid,C1=CC=C2C(=C1)C=C(C=C2N)C(=O)O
2-Amino-5-sulfobenzoic acid,2-Amino-5-sulfobenzoic acid,C1=CC(=C(C=C1S(=O)(=O)O)C(=O)O)N
2-(Methylamino)benzoic acid,Methylaminobenzoic acid,
2-(Ethylamino)benzoic acid,Ethylaminobenzoic acid,
2-(Dimethylamino)benzoic acid,Dimethylaminobenzoic acid,CN(C)C1=CC=CC(=C1)C(=O)O
4-(Dimethylamino)benzoic acid,Dimethylaminobenzoic acid,CN(C)C1=CC=CC(=C1)C(=O)O
2-(2-Hydroxyethylamino)benzoic acid,2-Hydroxyethylaminobenzoic acid,
2-(N-2-Hydroxyethyl-N-methylamino)benzoic acid,N-2-Hydroxyethyl-N-methylaminobenzoic acid,
2-(N-2-Hydroxyethyl-N-ethylamino)benzoic acid,N-2-Hydroxyethyl-N-ethylaminobenzoic acid,
2-[Bis(N-2-hydroxyethyl)amino]benzoic acid,N-2-hydroxyethylamino]benzoic acid,
"2-(2-Hydroxyethylamino)benzene-1,4-dicarboxylic acid","2-Hydroxyethylaminobenzene-1,4-dicarboxylic acid",
"2-[Bis(2-hydroxyethyl)amino]benzene-1,4-dicarboxylic acid","2-hydroxyethylamino]benzene-1,4-dicarboxylic acid",
"2,5-Bis(2-hydroxyethylamino)benzene-1,4-dicarboxylic acid","2-hydroxyethylaminobenzene-1,4-dicarboxylic acid",
"2,5-Bis(2-hydroxyethylamino)benzene-1,4-dicarboxylic acid monoethyl ester","2-hydroxyethylaminobenzene-1,4-dicarboxylic acid monoethyl ester",
"2,5-[Bis(2-hydroxyethyl)amino]benzene-1,4-dicarboxylic acid monolactone","2-hydroxyethylamino]benzene-1,4-dicarboxylic acid monolactone",
"2-Bis(2-hydroxyethyl)amino-5-(2-hydroxyethylamino)benzene-1,4-dicarboxylic acid","2-hydroxyethylaminobenzene-1,4-dicarboxylic acid",
"2,5-Bis[bis(2-hydroxyethyl)amino]benzene-1,4-dicarboxylic acid","2-hydroxyethylamino]benzene-1,4-dicarboxylic acid",
"3,4-Diaminobenzoic acid","3,4-Diaminobenzoic acid",C1=CC(=C(C=C1C(=O)O)N)N
"2,5-Bis(carboxymethylamino)benzene-1,4-dicarboxylic acid","carboxymethylaminobenzene-1,4-dicarboxylic acid",
2-Amino-3-hydroxybenzoic acid,2-Amino-3-hydroxybenzoic acid,C1=CC(=C(C(=C1)O)N)C(=O)O
N-Phenylglycine,N-Phenylglycine,C1=CC=C(C=C1)NCC(=O)O
2-(Carboxymethylamino)benzoic acid (N-(2-Carboxyphenyl)glycine),2-Carboxyphenylglycine,
DL-N-(2-Carboxyphenyl)alanine,2-Carboxyphenylalanine,
N-(2-Carboxyphenyl)-N-(2-hydroxyethyl)glycine,2-hydroxyethylglycine,
"2,5-Bis[N-(carboxymethyl)-N-(2-hydroxyethyl)amino]benzene-1,4-dicarboxylic acid","2-hydroxyethylamino]benzene-1,4-dicarboxylic acid",
N-(8-Quinolyl)glycine,8-Quinolylglycine,
(4-Aminophenylamino)butanedioic acid (N-(4-Aminophenyl)aspartic acid),4-Aminophenylaspartic acid,
"1,4-Phenylenediiminodibutanedioic acid","1,4-Phenylenediiminodibutanedioic acid",
N-Phenyliminodiacetic acid,N-Phenyliminodiacetic acid,C1=CC=C(C=C1)N(CC(=O)O)CC(=O)O
N-(2-Sulfophenyl)iminodiacetic acid,2-Sulfophenyliminodiacetic acid,
N-(3-Sulfophenyl)iminodiacetic acid,3-Sulfophenyliminodiacetic acid,
N-(4-Sulfophenyl)iminodiacetic acid,4-Sulfophenyliminodiacetic acid,
N-(4-Sulfo-1-naphthyl)iminodiacetic acid,4-Sulfo-1-naphthyliminodiacetic acid,
N-(2-Carboxyphenyl)iminodiacetic acid,2-Carboxyphenyliminodiacetic acid,C1=CC=C(C(=C1)C(=O)O)N(CC(=O)O)CC(=O)O
N-(3-Carboxyphenyl)iminodiacetic acid,3-Carboxyphenyliminodiacetic acid,
N-(4-Carboxyphenyl)iminodiacetic acid,4-Carboxyphenyliminodiacetic acid,
"N-(2,5-Dicarboxyphenyl)iminodiacetic acid","2,5-Dicarboxyphenyliminodiacetic acid",
"N-(4-Hydroxy-2,5-dicarboxyphenyl)iminodiacetic acid","4-Hydroxy-2,5-dicarboxyphenyliminodiacetic acid",
N-(2-Hydroxyphenyl)iminodiacetic acid,2-Hydroxyphenyliminodiacetic acid,
N-(3-Hydroxyphenyl)iminodiacetic acid,3-Hydroxyphenyliminodiacetic acid,
N-(4-Hydroxyphenyl)iminodiacetic acid,4-Hydroxyphenyliminodiacetic acid,
N-(2-Hydroxy-4-sulfo-1-naphthyl)iminodiacetic acid,2-Hydroxy-4-sulfo-1-naphthyliminodiacetic acid,
"N-(8-Hydroxy-4,6-disulfo-1-naphthyl)iminodiacetic acid","8-Hydroxy-4,6-disulfo-1-naphthyliminodiacetic acid",
N-(2-Methoxyphenyl)iminodiacetic acid,2-Methoxyphenyliminodiacetic acid,
N-(2-Mercaptophenyl)iminodiacetic acid,2-Mercaptophenyliminodiacetic acid,
N-(4-Sulfo-1-naphthyl)ethylenedinitrilotriacetic acid,4-Sulfo-1-naphthylethylenedinitrilotriacetic acid,
"N-[2,5-Dicarboxy-4-(carboxymethylamino)phenyl]iminodiacetic acid",carboxymethylaminophenyl]iminodiacetic acid,
Ethylenebis(oxybenzene-2-nitrilodiacetic acid),oxybenzene-2-nitrilodiacetic acid,
"1,2-Phenylenedinitrilotetraacetic acid","1,2-Phenylenedinitrilotetraacetic acid",C1=CC=C(C(=C1)N(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
"4-Methyl-1,2-phenylenedinitrilotetraacetic acid","4-Methyl-1,2-phenylenedinitrilotetraacetic acid",CC1=CC(=C(C=C1)N(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
"4-Chloro-1,2-phenylenedinitrilotetraacetic acid","4-Chloro-1,2-phenylenedinitrilotetraacetic acid",
"1,3-Phenylenedinitrilotetraacetic acid","1,3-Phenylenedinitrilotetraacetic acid",C1=CC(=CC(=C1)N(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
"2-Methyl-1,3-phenylenedinitrilotetraacetic acid","2-Methyl-1,3-phenylenedinitrilotetraacetic acid",
"4-Methyl-1,3-phenylenedinitrilotetraacetic acid","4-Methyl-1,3-phenylenedinitrilotetraacetic acid",
"1,4-Phenylenedinitrilotetraacetic acid","1,4-Phenylenedinitrilotetraacetic acid",C1=CC(=CC=C1N(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
"2-Methyl-1,4-phenylenedinitrilotetraacetic acid","2-Methyl-1,4-phenylenedinitrilotetraacetic acid",
Pyrrole-2-carboxylic acid (Azole-2-carboxylic acid),Azole-2-carboxylic acid,
"1,4-Diazine-2-carboxylic acid (Pyrazinecarboxylic acid)",Pyrazinecarboxylic acid,C1=CN=C(C=N1)C(=O)O
"1,4-Diazine-2,3-dicarboxylic acid","1,4-Diazine-2,3-dicarboxylic acid",
Pyridine-2-carboxylic acid (Picolinic acid),Picolinic acid,C1=CC=NC(=C1)C(=O)O
6-Methylpyridine-2-carboxylic acid,6-Methylpyridine-2-carboxylic acid,CC1=NC(=CC=C1)C(=O)O
Quinoline-2-carboxylic acid (Quinaldic acid),Quinaldic acid,C1=CC=C2C(=C1)C=CC(=N2)C(=O)O
Pyridine-2-carboxylic acid N-oxide,Pyridine-2-carboxylic acid N-oxide,C1=CC=[N+](C(=C1)C(=O)O)[O-]
Pyridine-3-carboxylic acid (Nicotinic acid),Nicotinic acid,C1=CC(=CN=C1)C(=O)O
Pyridine-4-carboxylic acid (Isonicotinic acid),Isonicotinic acid,C1=CN=CC=C1C(=O)O
Quinoline-8-carboxylic acid,Quinoline-8-carboxylic acid,C1=CC2=C(C(=C1)C(=O)O)N=CC=C2
3-Carboxy-N-methylpyridinium (chloride) (Nicotinic acid betaine),Nicotinic acid betaine,
Pyridine-2-phosphonic-6-carboxylic acid (2PP6C),2PP6C,
"Pyridine-2,3-dicarboxylic acid (Quinolinic acid)",Quinolinic acid,C1=CC(=C(N=C1)C(=O)O)C(=O)O
"Pyridine-2,4-dicarboxylic acid (Lutidinic acid)",Lutidinic acid,C1=CN=C(C=C1C(=O)O)C(=O)O
"Pyridine-2,5-dicarboxylic acid (Isocinchomeronic acid)",Isocinchomeronic acid,C1=CC(=NC=C1C(=O)O)C(=O)O
"Pyridine-2,6-dicarboxylic acid (Dipicolinic acid)",Dipicolinic acid,C1=CC(=NC(=C1)C(=O)O)C(=O)O
"Pyridine-3,4-dicarboxylic acid (Cinchomeronic acid)",Cinchomeronic acid,C1=CN=CC(=C1C(=O)O)C(=O)O
"Pyridine-3,5-dicarboxylic acid (Dinicotinic acid)",Dinicotinic acid,C1=C(C=NC=C1C(=O)O)C(=O)O
"4-Chloropyridine-2,6-dicarboxylic acid","4-Chloropyridine-2,6-dicarboxylic acid",C1=C(C=C(N=C1C(=O)O)C(=O)O)Cl
4-Hydroxyquinoline-2-carboxylic acid,4-Hydroxyquinoline-2-carboxylic acid,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O
"4-Hydroxypyridine-2,6-dicarboxylic acid (Chelidamic acid)",Chelidamic acid,C1=C(NC(=CC1=O)C(=O)O)C(=O)O
"4-Aminopyridine-2,6-dicarboxylic acid","4-Aminopyridine-2,6-dicarboxylic acid",C1=C(C=C(N=C1C(=O)O)C(=O)O)N
"4-(Methylamino)pyridine-2,6-dicarboxylic acid","Methylaminopyridine-2,6-dicarboxylic acid",
"4-(Dimethylamino)pyridine-2,6-dicarboxylic acid","Dimethylaminopyridine-2,6-dicarboxylic acid",
"4-(Phenylamino)pyridine-2,6-dicarboxylic acid","Phenylaminopyridine-2,6-dicarboxylic acid",
2-Pyridylacetic acid (Pyridine-2-acetic acid),Pyridine-2-acetic acid,C1=CC=NC(=C1)CC(=O)O
3-(2-Pyridyl)propanoic acid,2-Pyridylpropanoic acid,
trans-3-(2-Pyridyl)propenoic acid,2-Pyridylpropenoic acid,
3-Pyridylacetic acid (Pyridine-3-acetic acid),Pyridine-3-acetic acid,C1=CC(=CN=C1)CC(=O)O
3-(3-Pyridyl)propanoic acid,3-Pyridylpropanoic acid,CC(C1=CN=CC=C1)C(=O)O
4-Pyridylacetic acid (Pyridine-4-acetic acid),Pyridine-4-acetic acid,C1=CN=CC=C1CC(=O)O
3-(4-Pyridyl)propanoic acid,4-Pyridylpropanoic acid,
"Pyridine-2,6-diacetic acid","Pyridine-2,6-diacetic acid",C1=CC(=NC(=C1)CC(=O)O)CC(=O)O
N-(2-Pyridylmethyl)glycine,2-Pyridylmethylglycine,
N-(2-Pyridylmethyl)iminodiacetic acid,2-Pyridylmethyliminodiacetic acid,
N-(6-Methyl-2-pyridylmethyl)iminodiacetic acid,6-Methyl-2-pyridylmethyliminodiacetic acid,
"Pyridine-2,6-dinitrilotetraacetic acid","Pyridine-2,6-dinitrilotetraacetic acid",
"1-Ethyl-1,4-dihydro-7-methyl-4-oxo-1,8-naphthyridine-3-carboxylic acid (Nalidixic acid)",Nalidixic acid,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O
Methylamine,Methylamine,CN
Ethylamine,Ethylamine,CCN
Propylamine,Propylamine,CCCN
Butylamine,Butylamine,CCCCN
Pentylamine,Pentylamine,CCCCCN
Hexylamine,Hexylamine,CCCCCCN
2-Propylamine (Isopropylamine),Isopropylamine,CC(C)N
DL-2-Butylamine (s-Butylamine),s-Butylamine,CCC(C)N
2-Methylpropylamine (Isobutylamine),Isobutylamine,CC(C)CN
3-Pentylamine,3-Pentylamine,CCC(CC)N
3-Methylbutylamine (Isopentylamine),Isopentylamine,CC(C)CCN
2-Methyl-2-propylamine (t-Butylamine),t-Butylamine,CC(C)(C)N
Cyclopropylamine,Cyclopropylamine,C1CC1N
Cyclopentylamine,Cyclopentylamine,C1CCC(C1)N
Cyclohexylamine,Cyclohexylamine,C1CCC(CC1)N
Cyclohexylmethylamine,Cyclohexylmethylamine,CNC1CCCCC1
"Tricyclo[3.3.1.1(3,7)]decan-1-amine (Amantadine)",Amantadine,C1C2CC3CC1CC(C2)(C3)N
Prop-2-enylamine (Allylamine),Allylamine,C=CCN
trans-But-2-enylamine,trans-But-2-enylamine,
Cyanomethylamine,Cyanomethylamine,C(C#N)N
Aminobenzene (Aniline),Aniline,C1=CC=C(C=C1)N
2-Methylaniline (o-Toluidine),o-Toluidine,CC1=CC=CC=C1N
2-Ethylaniline,2-Ethylaniline,CCC1=CC=CC=C1N
3-Methylaniline (m-Toluidine),m-Toluidine,CC1=CC(=CC=C1)N
4-Methylaniline (p-Toluidine),p-Toluidine,CC1=CC=C(C=C1)N
4-Ethylaniline,4-Ethylaniline,CCC1=CC=C(C=C1)N
"2,4-Dimethylaniline (2,4-Xylidine)","2,4-Xylidine",CC1=CC(=C(C=C1)N)C
"2,6-Dimethylaniline (2,6-Xylidine)","2,6-Xylidine",CC1=C(C(=CC=C1)C)N
"3,5-Dimethylaniline (3,5-Xylidine)","3,5-Xylidine",CC1=CC(=CC(=C1)N)C
2-Nitroaniline,2-Nitroaniline,C1=CC=C(C(=C1)N)[N+](=O)[O-]
3-Nitroaniline,3-Nitroaniline,C1=CC(=CC(=C1)[N+](=O)[O-])N
4-Nitroaniline,4-Nitroaniline,C1=CC(=CC=C1N)[N+](=O)[O-]
2-Fluoroaniline,2-Fluoroaniline,C1=CC=C(C(=C1)N)F
3-Fluoroaniline,3-Fluoroaniline,C1=CC(=CC(=C1)F)N
4-Fluoroaniline,4-Fluoroaniline,C1=CC(=CC=C1N)F
2-Chloroaniline,2-Chloroaniline,C1=CC=C(C(=C1)N)Cl
3-Chloroaniline,3-Chloroaniline,C1=CC(=CC(=C1)Cl)N
4-Chloroaniline,4-Chloroaniline,C1=CC(=CC=C1N)Cl
2-Bromoaniline,2-Bromoaniline,C1=CC=C(C(=C1)N)Br
3-Bromoaniline,3-Bromoaniline,C1=CC(=CC(=C1)Br)N
4-Bromoaniline,4-Bromoaniline,C1=CC(=CC=C1N)Br
2-Iodoaniline,2-Iodoaniline,C1=CC=C(C(=C1)N)I
3-Iodoaniline,3-Iodoaniline,C1=CC(=CC(=C1)I)N
4-Iodoaniline,4-Iodoaniline,C1=CC(=CC=C1N)I
