smiles,true_pka,pred_pka,rmse
C(C(=O)O)C(=O)O,[5.03999996],[1.43313038],3.6068695783615112
CN(CCO)CCO,[4.8499999  9.10000038],[1.63364089 3.16130209],4.775620522072189
CC(O)(P(=O)(O)O)P(=O)(O)O,[6.4000001],[1.63364089],4.766359210014343
C=CC1=CC=C(C=C1)S(=O)(=O)O,[8.10000038],[1.68508446],6.414915919303894
CN(C)CCN(C)CCN(C)C,[12.47000027],[5.39607096],7.073929309844971
[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,[5.11000013],[1.43313372],3.6768664121627808
O=C1NC2=C(NC=N2)C(=O)N1,[5.5],[9.30264091],3.802640914916992
