metal_ion,SMILES,pKa_num,pKa_value,predicted_positions
Ag+,COc1ccc(SCC(O)=O)cc1,2,"[2.97, 5.2]","[9, 4]"
Ag+,COc1ccc([Se]CC(O)=O)cc1,2,"[3.75, 6.7]","[9, 4]"
Ag+,COc1cccc(SCC(O)=O)c1,2,"[2.68, 4.6]","[10, 5]"
Ag+,CSCC(O)=O,2,"[3.9, 7.4]","[4, 1]"
Ag+,CSCC[C@H](N)C(=O)NCC(O)=O,2,"[4.63, 8.29]","[5, 11]"
Ag+,CSCC[C@H](N)C(=O)N[C@@H](CCSC)C(O)=O,2,"[5.81, 8.7]","[5, 15]"
Ag+,CSCC[C@H](NC(=O)CN)C(O)=O,2,"[4.7, 8.03]","[9, 11]"
Ag+,C[C@H]1CN[C@@H](C)CN1,2,"[3.6, 5.98]","[3, 7]"
Ag+,C[C@H]1CN[C@H](C)CN1,2,"[3.48, 6.43]","[7, 3]"
Ag+,Cc1cc2cccnc2c3ncccc13,2,"[7.3, 13.39]","[7, 10]"
Ag+,Cc1ccc(SCC(O)=O)cc1,2,"[2.91, 5.0]","[8, 10]"
Ag+,Cc1ccc([Se]CC(O)=O)cc1,2,"[3.73, 6.5]","[8, 3]"
Ag+,Cc1cnc(C)cn1,2,"[1.96, 3.13]","[3, 7]"
Ag+,Cc1cncc(C)n1,2,"[1.95, 3.46]","[7, 3]"
Ag+,Cc1cnccn1,2,"[1.65, 2.76]","[6, 3]"
Ag+,Clc1cc2cccnc2c3ncccc13,2,"[4.7, 11.04]","[7, 10]"
Ag+,Clc1cnccn1,2,"[0.96, 1.53]","[3, 6]"
Ag+,NC(CO)(CO)CO,2,"[3.14, 6.57]","[0, 5]"
Ag+,NC1CC1,2,"[3.1, 6.43]","[0, 1]"
Ag+,NC1CCCC1,2,"[3.61, 7.83]","[0, 1]"
Ag+,NC1CCCCC1,2,"[3.72, 8.02]","[0, 1]"
Ag+,NCC#N,2,"[1.9, 3.21]","[0, 1]"
Ag+,NCC(O)=O,2,"[3.2, 6.63]","[0, 3]"
Ag+,NCCO,2,"[3.15, 6.65]","[0, 3]"
Ag+,NCc1ccccc1,2,"[3.02, 7.04]","[0, 5]"
Ag+,Nc1ccc(cc1)[S](O)(=O)=O,2,"[1.14, 2.09]","[0, 8]"
Ag+,Nc1cnccn1,2,"[1.81, 3.5]","[0, 6]"
Ag+,OC(=O)CCSCC(O)=O,2,"[4.4, 7.46]","[0, 8]"
Ag+,OC(=O)CCSCCC(O)=O,2,"[3.9, 6.48]","[0, 9]"
Ag+,OC(=O)CC[Se]CCC(O)=O,2,"[4.97, 7.36]","[0, 9]"
Ag+,OC(=O)CC[Te]CCC(O)=O,2,"[6.28, 9.19]","[9, 0]"
Ag+,OC(=O)CSCC=C,2,"[3.76, 6.8]","[0, 4]"
Ag+,OC(=O)CSCCC=C,2,"[4.74, 7.0]","[0, 4]"
Ag+,OC(=O)CSCCCC=C,2,"[4.2, 7.0]","[0, 2]"
Ag+,OC(=O)CSCc1ccccc1,2,"[3.69, 6.8]","[0, 6]"
Ag+,OC(=O)CSc1ccc(Br)cc1,2,"[2.53, 4.6]","[0, 11]"
Ag+,OC(=O)CSc1ccc(Cl)cc1,2,"[2.57, 4.4]","[0, 9]"
Ag+,OC(=O)CSc1cccc(Cl)c1,2,"[2.43, 4.3]","[0, 10]"
Ag+,OC(=O)CSc1ccccc1,2,"[2.8, 4.9]","[0, 6]"
Ag+,OC(=O)C[Se]CC(O)=O,2,"[-6.76, 4.46]","[7, 0]"
Ag+,OC(=O)C[Se]CCC=C,2,"[5.0, 8.0]","[0, 2]"
Ag+,OC(=O)C[Se]CCCC=C,2,"[4.63, 7.97]","[0, 2]"
Ag+,OC(=O)C[Se]c1ccc(Br)cc1,2,"[3.42, 6.0]","[0, 6]"
Ag+,OC(=O)C[Se]c1ccc(Cl)cc1,2,"[3.44, 5.9]","[0, 9]"
Ag+,OC(=O)C[Se]c1ccc(cc1)[N+]([O-])=O,2,"[2.82, 5.1]","[0, 6]"
Ag+,OC(=O)C[Se]c1cccc(Cl)c1,2,"[3.33, 5.6]","[0, 10]"
Ag+,OC(=O)C[Se]c1ccccc1,2,"[3.65, 6.1]","[0, 6]"
Ag+,OCCS,2,"[13.2, 17.9]","[3, 0]"
Ag+,[nH]1cccn1,2,"[-4.37, 2.05]","[4, 0]"
Ag+,c1ccc(cc1)c2c3ccccc3c(c4ccccc4)c5ccccc25,2,"[5.46, 8.16]","[4, 5]"
Ag+,c1ccncc1,2,"[1.93, 4.19]","[3, 2]"
Ag+,c1ccnnc1,2,"[1.48, 2.82]","[4, 3]"
Ag+,c1cnc2c(c1)ccc3ncccc23,2,"[5.02, 12.06]","[2, 9]"
Ag+,c1cnccn1,2,"[1.38, 2.41]","[5, 2]"
Ag+,c1cncnc1,2,"[1.61, 2.98]","[4, 2]"
Ag+,NNC(N)=S,3,"[7.5, 11.41, 13.28]","[0, 1, 3]"
Ag+,O[S](=O)(=O)c1ccc(Sc2ccc(cc2)[S](O)(=O)=O)cc1,3,"[1.4, 2.3, 4.0]","[16, 0, 13]"
Ag+,CCSc1ccc(cc1)[S](O)(=O)=O,4,"[2.61, 4.29, 5.6, 6.6]","[10, 8, 7, 5]"
Ag+,O[S](=O)(=O)c1ccc(Sc2ccccc2)cc1,4,"[1.67, 2.9, 4.0, 5.8]","[0, 6, 5, 14]"
Ag+,O[S](=O)(=O)c1ccc([Se]c2ccccc2)cc1,4,"[2.63, 4.89, 6.43, 8.66]","[0, 15, 16, 10]"
Ag+,SC#N,4,"[4.6, 8.06, 9.6, 10.5]","[0, 2, 0]"
Ca2+,CC(=C/C(O)=O)/C(O)=O,1,[1.3],[7]
Ca2+,CC(=O)C(O)=O,1,[0.8],[4]
Ca2+,CC(=O)CN(CC(O)=O)CC(O)=O,1,[4.08],[4]
Ca2+,CC(=O)[C@H]1CC[C@@]2(O)[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@]12C,1,[14.36],[7]
Ca2+,CC(C(O)=O)C(O)=O,1,[1.65],[3]
Ca2+,CC(C)(C(O)=O)C(O)=O,1,[1.52],[7]
Ca2+,CC(C)(C)[P](O)(O)=O,1,[1.69],[6]
Ca2+,CC(CN(CC(O)=O)CC(O)=O)N(CC(O)=O)CC(O)=O,1,[11.55],[3]
Ca2+,CC(O)([P](O)(O)=O)[P](O)(O)=O,1,[6.4],[4]
Ca2+,CC(O)C(O)=O,1,[1.12],[4]
Ca2+,CC1=CN(C2CC(O)C(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)O2)C(=O)NC1=O,1,[3.885],[21]
Ca2+,CCC(C(O)=O)C(O)=O,1,[1.59],[7]
Ca2+,CCCCCCCCCCCCCC1=C(C)C(=O)c2c(OC)cc(OC)c(O)c2O1,1,[6.86],[27]
Ca2+,CCCCO[P]([O-])(=O)O[P]([O-])([O-])=O,1,[3.0],[7]
Ca2+,CCCCO[P]([O-])([O-])=O,1,[1.56],[8]
Ca2+,CCCN(CCC[S](O)(=O)=O)c1ccc(N=O)c(O)c1,1,[2.06],[18]
Ca2+,CCOC[P](O)(O)=O,1,[1.7],[6]
Ca2+,CCSC[P](O)(O)=O,1,[1.7],[5]
Ca2+,CC[P](O)(O)=O,1,[1.61],[4]
Ca2+,COCCN(CC(O)=O)CC(O)=O,1,[4.66],[7]
Ca2+,CO[P]([O-])(=O)O[P]([O-])([O-])=O,1,[2.87],[9]
Ca2+,CO[P]([O-])([O-])=O,1,[1.39],[5]
Ca2+,CSCCN(CC(O)=O)CC(O)=O,1,[3.41],[7]
Ca2+,C[P](O)(O)=O,1,[1.64],[3]
Ca2+,Cc1cc(ccc1N(CC(O)=O)CC(O)=O)N(CC(O)=O)CC(O)=O,1,[3.59],[23]
Ca2+,Cc1ccc(N(CC(O)=O)CC(O)=O)c(c1)N(CC(O)=O)CC(O)=O,1,[9.26],[8]
Ca2+,Cc1ncc(C[n+]2csc(CCO[P](O)(=O)O[P](O)(O)=O)c2C)c(N)n1,1,[2.83],[18]
Ca2+,NC(=O)CCN(CC(O)=O)CC(O)=O,1,[3.91],[5]
Ca2+,NC(CO)C(=O)NCC(O)=O.O[P](O)([O-])=O,1,[1.85],[0]
Ca2+,NC1=NC(=O)N(C=C1)C2OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C2O,1,[3.945],[18]
Ca2+,NC1=NC(=O)N(C=C1)C2OC(CO[P](O)(=O)O[P](O)(O)=O)C(O)C2O,1,[2.87],[14]
Ca2+,NC1=NC(=O)c2ncn(C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O)c2N1,1,[3.75],[24]
Ca2+,NCC(=O)NC(CO)C(=O)NCC(O)=O.O[P](O)([O-])=O,1,[1.81],[0]
Ca2+,NCC(=O)NC(CO[P](O)(O)=O)C(O)=O,1,[1.77],[0]
Ca2+,NCC(O)=O,1,[1.09],[0]
Ca2+,NCCC(=O)NC(Cc1[nH]cnc1)C(O)=O,1,[3.22],[0]
Ca2+,NCCCC(O)([P](O)(O)=O)[P](O)(O)=O,1,[6.1],[0]
Ca2+,NCCCC[C@H](NC(=O)[C@@H](N)CO)C(O)=O.O[P](O)([O-])=O,1,[1.53],[0]
Ca2+,NCCC[P](O)(O)=O,1,[1.68],[0]
Ca2+,NCCN,1,[0.11],[0]
Ca2+,NCCS,1,[2.21],[0]
Ca2+,NO[P](O)(=O)C(c1ccccc1)[P](O)(O)=O,1,[6.56],[0]
